concordar	corresponder/combinar/harmonizar/compatibilizar/acordar
condensar	destilar
condicionar	preparar
condizer	combinar
conduzir	ir/exprimir/reger/transmitir/dirigir/andar/fazer
conferir	checar/verificar/constatar/aprender/assegurar/averiguar/checar/verificar/provar/descobrir/controlar/ver
confirmar	atestar
conflagrar	queimar
conformar	esposar/adoptar/adotar
confrontar	deparar/enfrentar/defrontar
confundir	perplexar/enrolar/disconcertar/obnubilar/enervar/obscurecer/atrapalhar/misturar/agitar/incomodar
congelar	gelar
conhecer	saber
conquistar	auferir/ganhar/fazer
consagrar	dar
consentir	outorgar/permitir/conceder/dar
conservar	preservar
considerar	deliberar/afirmar/julgar/pensar/compreender/entender/manter
constatar	assegurar/averiguar/checar/conferir/verificar/determinar/controlar/achar
construir	modernizar/educar/instruir/preparar/treinar/gerar/desenvolver/criar/fazer
consumir	ocupar/levar
contagiar-se	contrair/pegar
contar	afirmar/declarar/dizer
conter	endereçar/incluir/lidar/tratar/compreender/ter/falar/cobrir/caber/acomodar
continuar	prolongar-se/durar/progredir/avançar/preservar/prosseguir/permanecer/seguir/ir/manter
contrair	contagiar-se/padecer/ter/pegar
controlar	checar/conferir/verificar/constatar/aprender/assegurar/averiguar/checar/conferir/verificar/provar/descobrir/ver
convalescer	recuperar
convencer	ganhar/levar
convencionar	estipular
convergir	encostar/tocar
conversar	verbalizar
converter	mudar/transmudar/tornar-se/transformar
convocar	chamar/organizar
copular	beijar
correr	enfileirar
corresponder	harmonizar/compatibilizar/combinar/concordar
corroer	comer
cortar	apartar/apartar-se/incisar/separar-se/decepar/atravessar/terminar/dividir/separar
cozinhar	acender/fazer
cravar	espetar
crescer	desenvolver/adquirir
criar	produzir/construir/fazer/arquitetar/desenhar/fazer
cultivar	amassar/trabalhar
cumprimentar	denominar/chamar/nomear
cumprir	executar/realizar
custar	requisitar/demandar/precisar/exigir/requerer
dançar	bailar
dar	devotar/legar/dedicar/consagrar/comprometer/consentir/permitir/deixar/entregar/passar/prover/causar/aplicar/revelar/ajudar/transmitir/provocar/servir
decair	desintegrar
decepar	apartar/apartar-se/separar-se/fender/terminar/dividir/separar/cortar
declarar	contar/falar/dizer/ofertar/estender/oferecer/achar
declinar	desprezar/recusar/rejeitar
decorar	ornar/empetecar/enfeitar/ornamentar/embelezar/adornar
decorrer	retroceder/recuar
dedicar	dar
dedurar	tagarelar/falar
defecar	mijar/urinar
defender	manter
deformar	torcer
defrontar	deparar/confrontar
deitar-se	jazer
deixar	legar/entregar/passar/dar/olvidar/despachar/esquecer/outorgar/permitir/conceder/admitir/sair/transmitir/partir/ir/dar
deliberar	julgar/pensar/considerar
delinear	desenhar
demandar	custar
demonstrar	atestar/perceber/registrar
denominar	cumprimentar/endereçar
denotar	intencionar
deparar	enfrentar/defrontar/confrontar
dependurar	pendurar
derivar	descender/porvir/provir/vir
derramar	entornar/verter/entornar/verter
derreter	manchar
derrotar	enganar
derrubar	virar
desabar	colapsar/desistir/abandonar
desaconselhar	alertar/avisar/advertir
desalojar	despejar/remover
desbravar	capitanear
descender	porvir/derivar/vir
descobrir	achar/detectar/assegurar/averiguar/checar/conferir/verificar/determinar/observar/controlar/encontrar/achar/ver
desdobrar	esticar/estender
desejar	procurar
desempenhar	afetar
desencaminhar	seduzir
desenhar	arquitetar/traçar/delinear/criar
desenvolver	originar-se/modernizar/provir/educar/surgir/instruir/preparar/treinar/recrudescer/elaborar/progredir/gerar/formular/ganhar/crescer/acontecer/construir/adquirir/melhorar
desgalhar	bifurcar/brotar/ramificar
desintegrar	dissolver/decair/putrefazer/dividir
desinteressar	aposentar-se/retirar-se
desistir	ruir/colapsar/desabar/desmoronar/quebrar
deslocar	viajar/caminhar/ir/andar
desmoronar	romper/quebrar/colapsar/dissolver/desistir/abandonar
desnudar	despojar/despir/desnudar-se/despir-se/despir
desnudar-se	despojar/desnudar/despir
desobstruir	retirar/limpar
despachar	deixar
despedir	tirar
despejar	desalojar/remover
desperdiçar	torrar
despir	despojar/desnudar/desnudar-se/despir-se/desnudar
despir-se	despojar/desnudar/despir
despojar	desnudar-se/despir-se/desnudar/despir
desprezar	declinar/recusar/rejeitar/indeferir/recusar/rejeitar
destilar	distilar/apurar/condensar/sublimar/purificar/extrair
destruir	quebrar/surrar/arruinar
desvanecer	empurrar
detectar	descobrir/achar
determinar	descobrir/achar/constatar/aprender/averiguar/verificar/estimar/descobrir/ver
devastar	dizimar
devotar	dar
diferenciar	assinalar
difundir	circular/espalhar
diminuir	reduzir/reduzir
dirigir	conduzir/andar
disciplinar	preparar
disconcertar	perplexar/confundir/enrolar
disparar	tirotear/atirar
disputar	jogar/utilizar/usar/jogar/colocar
dispõe	ter/fruir/possuir/ter
disseminar	circular/espalhar
dissolver	desintegrar/desmoronar
distilar	apurar/destilar/sublimar/purificar/extrair
distinguir	assinalar
divertir	brincar/jogar
dividir	romper/quebrar/apartar/apartar-se/separar-se/decepar/desintegrar/terminar/separar/cortar
divulgar	advogar/promover/lutar/agitar
dizer	ler/contar/falar/atestar/verbalizar/expressar/afirmar/indicar/declarar/falar
dizimar	aniquilar/devastar/massacrar/erradicar
domar	amansar/domesticar
domesticar	amansar/domar
durar	continuar
educar	preparar-se/preparar/treinar/construir/desenvolver/melhorar
efetuar	executar/realizar
elaborar	desenvolver
emassar	aplicar/passar
embalar	balançar/sacudir
embarcar	vir/chegar
embelezar	ornamentar/adornar/decorar
embevecer	satisfazer
embirrar	lamuriar/choramingar
emigrar	migrar
empenar	torcer
empetecar	ornamentar/adornar/decorar
empeçonhar	envenenar
empolar	bolhar
empregar	praticar/utilizar/aplicar/usar
emprenhar	engravidar
empurrar	forçar/afugentar/desvanecer/rechaçar/afastar/tocar
encantar	satisfazer
encapar	tampar/cobrir
encarar	virar
encher	saturar/estufar
encontrar	re-adquirir/reconquistar/reganhar/recuperar/reunir/ver/informar-se/inteirar/reganhar/encostar/descobrir/achar/tocar
encostar	afluir/roçar/convergir/raspar/varrer/atravessar/encontrar
endereçar	denominar/chamar/tratar/nomear/circundar/englobar/abarcar/compreender/conter
endorsar	respaldar/endossar/secundar/apoiar/aprovar
endossar	endorsar/apoiar/aprovar
enervar	confundir/incomodar
enervar-se	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar
enfeitar	ornamentar/adornar/decorar/temperar
enferrujar	oxidar
enfileirar	correr/passar
enfrentar	deparar/confrontar
enfronhar	tampar/cobrir
enganar	ultrapassar/derrotar/vencer/superar/bater
engessar	aplicar/passar
englobar	endereçar/lidar/tratar/falar/cobrir
engravidar	emprenhar
enraizar	radicar
enrolar	disconcertar/confundir
entender	saber/afigurar/envisionar/figurar/visualizar/ler/obter/adquirir/compreender/considerar/atingir/achar/ver
entornar	verter/derramar/verter/derramar
entregar	deixar/transmitir/dar
envenenar	empeçonhar/intoxicar
envisionar	perceber/realizar/compreender/entender/visualizar
enxergar	assistir/ver
equilibrar	balancear/compensar/equilibrar-se/balancear
equilibrar-se	balancear/equilibrar/compensar
equiparar	rivalizar/competir/igualar
erguer	levantar
erradicar	dizimar
errar	vadiar/vagabundear/vaguear/perambular/vagar/passear/vagar
escovar	varrer
escrever	redigir/publicar/compor
esforçar	pressionar
esforçar-se	pressionar
esmiuçar	pulverizar
espalhar	alastrar/difundir/disseminar/transmitir/circular
esperar	antecipar/aguardar/parir/ter/carregar
espetar	cravar
espionar	traçar/seguir
esposar	acatar/conformar/seguir/casar
esquecer	abandonar/deixar
estabelecer	gerar/trazer/fazer
estar	sentir
estender	ampliar/extender/prorrogar/prolongar/desdobrar/expandir/esticar/declarar/oferecer/aumentar
estender-se	jazer
esticar	desdobrar/estender
estimar	medir/avaliar/determinar/avaliar/chegar/fazer
estimular	comover/afetar/impressionar/parecer
estipular	estipule/convencionar
estipule	estipular
estofar	estufar
estragar	falhar/morrer/acabar
estrangular	asfixiar/sufocar
estufar	estofar/encher
esvaziar	remover
etiquetar	marcar
exclamar	urrar/berrar/gritar
excomungar	amaldiçoar
executar	tocar/justiçar/cumprir/efetuar/realizar/atingir/tocar
exercer	servir
exercitar	malhar/treinar/malhar
exigir	custar
existir	perseverar/sobreviver/resistir
expandir	ampliar/estender
experimentar	tentar/provar
expirar	morrer/falhar/morrer/acabar
expressar	indicar/dizer
exprimir	transmitir/trazer/conduzir
extender	estender
extrair	resgatar/retirar/sacar/tirar/distilar/destilar/purificar/puxar/sacar/tirar
extratar	sumariar/sumarizar/resumir
faiscar	cintilar
falar	tratar/circundar/englobar/abarcar/dedurar/verbalizar/afirmar/compreender/conter/indicar/declarar/dizer
falecer	morrer/falhar/morrer/acabar
falhar	perecer/falecer/expirar/morrer/estragar/partir/quebrar
familiarizar	introduzir/apresentar
fantasiar	vestir
fascinar	centrar/concentrar/focar
fazer	actuar/auferir/cozinhar/atuar/produzir/ganhar/preparar/construir/criar/representar/performar/simular/conquistar/funcionar/atuar/estimar/fingir/produzir/brincar/estabelecer/arrumar/atrair/organizar/adquirir/criar/trazer/representar/conduzir/passar
fechar	cerrar
fender	decepar
ferrar	arder
festejar	banquetear
ficar	caber/acontecer/vir/cair
figurar	perceber/realizar/compreender/entender/visualizar
filmar	fotografar
fincar	martelar/forjar
fingir	pretextar/aparentar/comportar-se/agir/simular/atuar/parecer/atuar/representar/fazer
flagrar	apanhar/pegar
flertar	brincar
flutuar	boiar/nadar/vacilar/vagar
