afrancesar	modificar/alterar/mudar/tornar/virar/mudar
afrontar	resistir
afrouxar	modificar/alterar/mudar
afugentar	deslocar/mover
afundar	aprumar/inundar/deslocar/mover/descer/descer/baixar/baixar/cair/cair
afunilar	deslocar/mover
agachar	sentar-se/sentar/vergar/curvar/dobrar/torcer
agarrar	capturar/capturar/capturar/capturar/capturar/segurar/segurar/segurar/segurar/segurar/pegar/pegar/pegar/pegar/pegar/tomar/pegar
agasalhar	tornar/virar/mudar
agastar	desgostar/desagradar
agavelar	dispor/arranjar
agenciar	discutir
agendar	planejar/planejar/destinar
agilizar	aprofundar/intensificar
agir	atuar/fazer
agitar	disturbar/deslocar/deslocar/deslocar/deslocar/deslocar/deslocar/deslocar/emocionar/mover/mover/mover/mover/mover/mover/mover/expor/exibir/mexer/mexer/mexer/mexer/mexer/mexer/mexer/perturbar/apresentar/mostrar/deslocar/deslocar/deslocar/deslocar/deslocar/deslocar/mover/mover/mover/mover/mover/mover
aglomerar	acrescer/acrescentar/crescer/aumentar
aglutinar	aderir/grudar/colar/juntar
agoniar	angustiar/doer/machucar/sofrer
agonizar	sofrer
agourar	denotar/evidenciar/sugerir/sinalizar/indicar
agradar	estar/querer/ser/esperar/desejar
agradecer	apreciar/imputar/atribuir/transmitir/passar
agrafar	fixar/prender
agravar	modificar/alterar/mudar/encolerizar/irar/zangar/enraivecer
agredir	agir/atuar/fazer
agregar	compartir/partilhar/compartilhar/dividir/amalgamar/unificar/misturar
agrilhoar	deter/confinar/reter/prender/manter
agrupar	classificar
agrupar-se	classificar
aguar	prover/abastecer/fornecer/suprir/molhar
aguardar	ansiar/querer/desejar/agir/atuar/esperar/fazer
agudizar	modificar/alterar/mudar
aguentar	aturar/virar-se/tolerar/consentir/consentir/lidar/sobreviver/permitir/permitir/suportar/resistir/deixar/deixar/agir/atuar/fazer
aguerrir	brigar/disputar/lutar
agüentar	consentir/permitir/deixar
ajoelhar	soar/tocar
ajoelhar-se	repousar/descansar
ajudar	acorrer/aperfeiçoar/aperfeiçoar/socorrer/assistir/auxiliar/melhorar/melhorar/provisionar/prover/abastecer/encorajar/promover/apoiar/fornecer/estimular/suportar/guiar/dirigir/levar/servir/carregar/conduzir
ajuizar	desafiar
ajuntar	anexar/juntar/unir
ajustar	modificar/modificar/acertar/acertar/alterar/alterar/variar/caber/corrigir/corrigir/ficar/servir/mudar/mudar/adequar/adaptar/alterar/resolver/decidir/concluir/aceitar/mudar
alagar	completar/encher
alargar	modificar/alterar/mudar
alarmar	alertar/avisar/advertir
alavancar	abrir
alcalinizar	modificar/alterar/mudar/alterar/mudar
alcançar	comunicar/conseguir/conseguir/suceder/suceder/estar/transmitir/chegar/atingir/atingir
alcatroar	revestir/cobrir
alcoolizar	modificar/alterar/mudar
