ab-rogação	revogação
exoneração	reabilitação/justificativa/justificação
exorbitância	extravagância/pletora/superabundância/excesso
expansão	dilatação/amplificação/distensão/inflação/anotação/extensão
expatriado	refugiado/refugiados
expectativa	esperança/apreensão/possibilidade/esperança
expedição	safari/safári/frete/exploração/cruzada/balsa/navegação
experimento	ensaio/prova/experiência/experiência/teste
experiência	augúrio/agouro/presságio/realidade/ensaio/mundo/prova/familiarização/ordália/ordálio/calvário/visão/momento/teste/vida/período
expert	decorador/desenhador/diagramador/dietista/enólogo/optômetro/educador/oculista
experto	decorador/desenhador/diagramador/dietista/enólogo/optômetro/educador/oculista
expetativa	apreensão/expectativa/possibilidade/esperança
expiração	respiração
explanação	definição/porquê/razão/glosso/racionalização/rubrica/justificativa/segredo/derivação/explicação/justificação/teoria/interpretação
explicação	definição/porquê/razão/glosso/racionalização/rubrica/justificativa/segredo/derivação/justificação/teoria/interpretação
explorador	conquistador/navegador
exploradora	conquistador/navegador
exploração	blaxploitation/colonialismo/comercialização/eletrificação/sobreexploração/sondagem/capitalização
explosivo	ogiva/pólvora
explosão	detonação/epidemias/epidemia/salva
expoente	logaritmo/logarítmo
exposição	rodeio
expressão	brado/lemas/mote/cambial/chamada/grito/lema/ambigüidade/bem-aventuranças/berro/centelha/chispa/decalque/disfemismo/gemido/grosa/máxima/provérbios/risos/suspiração/ambiguidade/axioma/chamada/cláusula/coaxar/complemento/congratulação/eufemismo/expletivo/faísca/felicitação/gemir/júbilo/parabéns/profanação/risada/riso/sintagma/aforismo/calão/exclamação/grito/pronúncia/suspiro/adágio/fala/oração/provérbio/articulação/ditado/lamento
expulsão	arroto/cuspir/defenestração/ejaculação/menstruação/regras/êmese/deportação/excreção/ostracismo/tosse/vômito/evacuação
exsudação	látex/resina
extensão	anchura/comprimento/escopo/largura/longitude/alcance/órbita/área/enormidade/espalhamento/espessura/estiramento/fundura/imensidade/imensidão/gigantismo/grossura/profundidade/profundeza/grandeza/seção/altitude/altura/espaço/limitação/fronteira/limite
extirpação	apendicectomia/colecistectomia/esplenectomia/estapedectomia/histerectomia/laminectomia/mastectomia/nefrectomia/ooforectomia/pneumonectomia/prostatectomia/salpingectomia/tiroidectomia/vasectomia/vulvectomia
extorsão	chantagem/tributo
extracção	decocção/infusão/ressecação/desidratação
extrato	recorte/frase/citação/contabilidade/conta/factura/facturas/fatura/coletânea/contas/conta
extremidade	extremos/fronteiras/extremo/fim/final/fronteira/limite
extremo	vértice/topo/máximo
extremos	vértice/topo
exultação	triunfo/vitória
exército	guarnição/haganah/haganá/hoste/mujahidin/cavalaria/comando/falange/contingente/legião/inimigo/corpo
fabricante	destilador/sericultor/cervejeiro/armeiro
fabricação	cartografia/formação
fabrico	cartografia
faca	adaga/baioneta/canivete/catana/cutelo/estoque/facão/peixeira/canivete/punhal
face	superior/topo/fundo/dianteira/fisiognomia/fisionomia/barlavento/frente/rosto/rabo/traseiro
faceta	sector/setor/lado
facho	tocha
facismo	nazismo
facista	nazi/nazista
facto	detalhe/observação/verdades/fato/caso/verdade
factura	conta/nota/cálculo
facturas	conta/nota/cálculo
faculdade	atenção/vontade/sentido/memória/concentração/entendimento/linguagem/discurso/razão/idioma/inteligência/língua
facção	direita/esquerda
fada	elfo/gnomo/silfo/titania/titânia/duende/anão
fadas	elfo/gnomo/silfo/titania/titânia/duende/anão
fadiga	exaustão
fado	carma/karma/inevitável
fagote	contrafagote
fagócito	macrófago/macrófagos
fagócitos	macrófago/macrófagos
faia	faia-europeia
faiança	terracota
faiença	xícara/chávena/louça/taça/prato/oveira
faisão	pavão
faisăo	pavão
faixa	alcinha/alça/coleira/arco/gola/jarreteira/testeira/pulseira/colarinho/passadeira/bracelete/elástico/liga
fala	tom/cochicho/elocução/prosódia/murmúrio/sussurro/língua
falante	conferencista/discursante/gago/interveniente/narrador/orador/perguntador/retor/ditador/testemunha
falcão	falcão-americano/gerifalte/peneireiro-vulgar/tarrafa
falecido	demonio/zumbi
falecimento	fatalidade/expiração/martírio/morte
falha	distorção/equívoco/omissão/engano/confusão/erro/burrice/mácula/recidiva/estupidez/fiasco/fracasso/inadimplência/lapso/quebra/bobagem/bolha/derrota/gafe/descuido/impedimento/defeito/mancha/perda/negligência/erro
fallout	queda/avalanche
falo	jeba/micropénis/micropênis/pica/picha/piroca/rola/caralho/pénis/verga/pinto/cacete/pau/vara
falsidade	mentirinha/contradição/conto/mentira/história/evasividade/hipocrisía/invencionice/ficção/hipocrisia/engano/fingimento/invenção/mentira
falsificação	dissimulação/contrafação/enganação/forjar/mentira
falta	penúria/ausência/escassez/fome/carência/absentismo/ausência/escassez/deficiência/carência
falácia	paralogismo/sofisma
falésia	precipício
fama	caráter/nome/renome
familia	genealogia/pais/família
família	casal/casamento/declinação/dinastia/dinastias/filovirus/filovírus/gens/genealogia/pais/declinação/categoria/espécies/raça/sexo/género/povo/tipo/casa/classe
fan	confederado/corporativista/francófilo/jacobita/apoiador/crente/entusiasta/partidário/pilar
fanerogâmicas	angiosperma/angiospérmica/balsâmina/gimnosperma/gimnospérmica/gimnospérmicas/gymnospermas/plântula
fantasia	ficção-científica/fogo-fátuo/disfarce/sonho
fantasma	banshee/familiar/génio/gênio/numina/ovni/ufologia/óvni/gênio/assombração/espectro/familiar/presença/sombra
fanático	chauvinista
faqueiro	garfo/colher/faca
faquir	dervixe
faraó	khufu
farda	libré
fardamento	libré
fardo	pacote/imposição/paneleiro/feixe
farinha	fubá/kinako/semolina/sémola/sêmola
farinhas	arroz/cereal/milho/zizania/cevada/milhete/trigo/aveia/malte
farmacologia	farmacocinética/toxicologia
fartura	cornucópia/abundância/riqueza
fascismo	nazismo
fascista	nazi/nazista
fascículo	nervo/nervos/nervo
fase	alcance/clímax/culminância/meia-lua/musth/plenilúnio/auge/culminação/ápice/capítulo/geração
fatalidade	homicídio
fatia	costeleta/costoleta/escalope/filé/seção/parte
fatiga	exaustão
fato	acção/feito/milagre/ato/ação/ocorrente/ocorrência/rudimentos/índice/acontecimento/substituto/terno
fator	parâmetros/parâmetro/ponto
fatura	conta/nota/cálculo
fauna	aves
fava	soja/feijão
favela	musseque
fazedor	fabricante/produtor/chapeleiro/menino-prodigio/oologista/orologisto/relojeiro/sapateira/seleiro/autor/cervejeiro/modista/relojoeiro/sapateiro/joalheiro/demônio/ferreiro/gerador/fonte
fazenda	lacticínios/lanígero/leitaria/leiteria/mercearia/rancho/veludo/granja/herdade/importação/lona/roça/seda/terras/algodão/lã/mercadoria/renda/produto/artigo/baronato/baronia/batik/brocado/brokat/cambraia/camurça/casario/cetim/crepe/cretone/crinolina/denim/denáilon/elastano/estambre/feltro/flanela/mohair/musselina/organza/peluche/pelúcia/percal/plantação/plantio/poliester/quilting/raiom/sal-e-pimenta/sarja/tafetá/tartan/tweed/velcro/vinha/vinhedo/viveirodeplantas/baeta/batista/cambraia/caxemira/damasco/exportação/feudo/herdade/jeans/náilon/pano/trama/fibras/linho/malha/poliéster/fibra/camuflagem/futuro/rede
fazendeiro	abelheiro/apicultor/contadino/plantador/rancheiro/semeador/agricultor/agrônomo/cultivador
fazerseuninho	nidificar/nidificação/alvéolo/colméia
façanha	bolinho/expediente/rebatida/recrutamento/restabelecimento/alistamento/emancipação/jogada/melhora/moleza/obra-prima/proeza/desempenho/feito/obtenção/performance/reabilitação/andada/batida/realização
febre	frieza/calor/frio
fechadura	cadeado/tranca
fecundação	polinização/superfecundação
fecundidade	produtividade/riqueza
feijão	vagem/soja
feira	empório/mercado/mercadinho/quitanda/sacolão/supermarket/supermercados/supermercado/mercado/bazar/ágora/mercado
feita	refeição
feiticeira	circe/circé
feiticeiro	exorcista/maga/pagé/feiticeira/mágica/xamã/mago/curandeiro
feitiço	azaração/satanismo/bruxaria/encantamento/maldição
feito	critica/parto/juízo/rejeição/recuperação/julgamento/partida/produção/bolinho/comunicado/descobrimento/efetuação/equalizador/equalização/expediente/exumação/forfeit/insucesso/legitimação/mitzvá/paralização/rebatida/recrutamento/restabelecimento/alistamento/causalidade/descoberta/distribuição/emancipação/escapatória/escape/implementação/interferência/jogada/melhora/moleza/obra-prima/ociosidade/paralisação/proeza/propulsão/uso/acção/atrapalhação/desempenho/motivação/obtenção/performance/permanência/reabilitação/andada/comunicação/eliminação/façanha/fuga/impulsão/contato/disposição/emergência/habitação/impedimento/atividade/ocupação/toque/ato/batida/falha/causa/execução/aquisição/ação/parada/perda/realização
feitor	feitora
feixe	fardo/pacote/máximos/paneleiro
feição	disposição/atividade/compulsividade/confiabilidade/desconfiam/egocentrismo/feminilidade/frivolidade/individualidade/masculinidade/índole/bobeira/caráter/desconfiança/sagacidade/sapiência/conduta/egoísmo/firmeza/humildade/individualismo/inércia/modalidade/natureza/vaidade/asseio/disciplina/limpeza/sabedoria/sensatez/seriedade/comportamento/parcimónia/procedimento/personalidade/maneira/fé
felação	boquete/chupada
feldspato	ortoclase/plagioclase/plagióclase
felicidade	bonheur/contentamento/gozo/pertence/realizado/satisfeito/alegria/contente
felino	gato/gato
felídeos	gato/gato
fenda	greta/racha/ranhura/fresta/fissura/buraco/boqueirão/caçapa/crevasse/diastema/forame/fundão/pélago/precipício/rachadura/rasgão/sorvedouro/abismo/brecha/rasgo/fresta/boca/falha/fissura/buraco
fenestra	clarabóia/clerestório/montra/rosácea/olhador/rosácea/vigia/vitral/vitrina/vitrine
fenóis	cresol/pirogalol/resorcina/tanino/timol
fenómeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/resultado/fim/levitação/metempsicose
fenômeno	ensejo/consequência/fortuna/conseqüência/azar/efeito/sorte/resultado/fim/levitação/metempsicose
feria	picnic/lua-de-mel
feriado	domingo/consoada/ramnavami/sabá/sábado/festividade/natal
ferida	corte/mordedura/abrasão/mordida
ferimento	corte/mordedura/mutilação/abrasão/mordida
fermentação	cerveja/kvas/hidromel
fermião	barion/barião/bárion/bárions/lépton/léptons
ferramenta	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/lima/satélites/sensor/aparato/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/lixa/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/satélites/aparelho/armamento/bastão/martelo/pau/satélite/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/instrumento/barra/rede/adaptador/aerofólio/alicates/analisador/anticoncepcional/aquecedores/arada/arado/ardil/asas/bafómetro/bafômetro/benjamim/calçadeira/cinetoscópio/cotonete/desentupidor/diapasão/enxada/etilómetro/etilômetro/exaustor/extintor/funil/furador/goma/indicadores/injector/leque/lutter/macaco/magnete/mangual/manivela/paleolito/parafernália/pegador/pinça/plana/plectro/plotter/pós-combustão/rastel/rastelo/restelo/roteador/router/stylus/suabe/teclado/tenazes/torquês/triturador/utensílio/valva/vaporizador/íman/abridor/ancinho/arpão/calçadeira/catapulta/chave/chupeta/conversor/estilete/forcado/funil/isca/palheta/pente/safa/safira/serrote/ímã/aquecedor/batedor/borracha/material/remo/régua/serra/torno/ventilador/alicate/cerâmica/evasão/gravador/tenaz/válvula/asa/botão/lança/lâmpada/metro/chave/luz/pá/agulha/restrição/instrumento/barra/controle/limitação/recurso/estilo/impressão/estrada/guarda/caminho
ferreiro	chaveiro/funileiro/armeiro
ferro	gusa
ferrovia	metrô/metropolitano/metro/funicular/funiculares/monocarril/trem/comboio
ferroviário	guarda-barreira
fertilização	polinização/superfecundação
fervor	zelo
festa	boda/cerimónia/funeral/boda/enterro/festival/funeral/cerimônia/recepção/casamento/agon/gala/luau/rotulagem/boda/comemoração/iniciação/celebração/cocktail/dança/formalidade/inauguração/banquete/baile/balada/jantar/casamento/reunião
festival	bacanal/kwanzaa/saturnalia/saturnália/bacanal/carnaval
festividade	festival/agon/gala/celebração/natal
feto	avenca/bebê
fezes	pipi/urina/xixi/cagalhão/coprólito/guano/mecónio/mecônio/melena/tolete/cocô/esterco/excremento/porcaria/vômito/bosta/merda
fiabilidade	infalibilidade
fiador	patroa/madrinha/anjo/padrinho
fiasco	solecismo/gafe/fumble/tropeço/espetáculo/gafe
fibra	bisso/farelo/filamento/farelo
fibras	bisso/filamento
ficcionismo	romance/distopia/estória/utopia/conto/fantasia/história
ficheiro	sub-directório/subdirectório/subdiretório/arquivo
fichário	arquivo
ficção	romance/distopia/estória/utopia/conto/fantasia/história
ficção-científica	cyberpunk
fidelidade	lealdade/constância
fiduciário	curador/executor/administrador
fiel	monoteísta/panteísta/teísta/peregrino
figueira	figo/figueira-comum/sicômoro/árvore-da-borracha
figura	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/reflexão/ilustração/modelo/plano/desenho/audiograma/chiaroscuro/cosmografia/croqui/diorama/doodle/efígie/equilátero/espantalho/garrancho/guido/iconografia/nomograma/panorama/presépio/projecção/silhueta/sub-figura/colagem/esboço/panorama/paralela/silhueta/varredura/ícone/ídolo/documento/figueira/lápis/projeção/ícone/carvão/transparência/fotografia/semelhança/imagem/apresentação/ilustração/desenho
figurinha	rei/valete/dama
fila	filaúnica/umapósooutro/bicha
filamento	cromatídio/hifa/miofibrilha
filatelia	aerofilatelia
filaúnica	coluna
filho	bebé/criancinha/nenê/recém-nascido/criança/bebê/menino/bastardo/enteado/primogênita/primogênito/filha/neta/neto/sucessor/bebê/rapaz/menino
filmagem	tomada/animação
filme	curta-metragem/documentário/longa-metragem/metragem/microfilme/3d
filo	acanthocephala/cephalochordata/chaetognatha/cnidarios/cnidários/craniata/ctenophora/ectoprocta/entoprocta/equinoderme/equinodermes/molusco/moluscos/pentastomida/protozoários/sipuncula/cordados/moluscos/protozoário
filogenia	especiação/macroevolução/microevolução
filogênese	especiação/macroevolução/microevolução
filologia	dialetologia/lexicologia
filosofia	etica/credo/ética/abolicionismo/amoralismo/animismo/axiologia/criacionismo/descritivismo/dialetica/dialéctica/dialética/direito/dualismo/epicurismo/epistemologia/estética/etiologia/expansionismo/fenomenologia/humanismo/humanitarianismo/humanitarismo/igualitarismo/irredentismo/laicismo/metafísica/monismo/multiculturalismo/niilismo/populismo/secularismo/transcendentalismo/utilitarismo/credo/dogma/estética/etiologia/evangelho/feminismo/internacionalismo/nacionalismo/pluralismo/preceito/democracia/formalismo/individualismo/jurisprudência/milênio/autocracia/imitação/lógica
filtração	infiltração
filtro	passador/coador
filtros	passador/coador
filé	bifsteque/bife
filósofo	empiricista/empirista/epistemóloga/epistemólogo/existencialista/sofista/cinismo/libertário/naturalista/realista
fim	demolição/efeitos/placar/destruição/impacto/influência/pico/desolação/destino/ponta/vitória/efeito/produto/resultado/decurso/desinência/mossa/subprodutos/telómero/telômero/términio/ômega/acabamento/cessação/estrago/repercussão/término/vencimento/ómega/derrota/expiração/limiar/terminação/ponta/conclusão/queda/resultado/diminuição/parada/perda/rabo/morte/final/mudança
final	demolição/empate/placar/destruição/pico/desolação/destino/ponta/vitória/resultado/decurso/desinência/telómero/telômero/términio/ômega/acabamento/cessação/término/vencimento/ómega/derrota/expiração/limiar/terminação/ponta/conclusão/queda/fim/parada/perda/rabo/morte
finalidade	intento/mente/vontade/mal-entendido/objectivo/objetivo/ideia/intenção/plano
finalização	consumação/final
financiador	inquilino/locatário/contribuinte/banqueiro
financista	banqueiro
finança	financiamento/flotação/banca/investimento
finanças	bolso
fingimento	postura
fio	toa/corda/cabo/amarra/brandái/urdume/algodão/corda/linha
firmeza	auto-controle/determinação/estabilidade/obstinação/solidez/determinação/decisão/segurança/resolução
fiscalização	verificação/inspeção/controle/limite
fisiologia	cinesiologia/miologia
fisioterapia	reabilitação
fisioterapêuta	massagista
fissura	fenda/crevasse/rachadura/fresta/falha/fenda
fita	fita-cola
fita-cola	diaquilão
fito-hormona	auxina/giberelina
fitopatologia	mosaicos/praga
fitoplâncton	diatomácea/diatomáceas
fitoquímica	carotenoide/carotenoides/carotenóide/flavonoide/flavonoides/flavonóide
fitoquímicos	carotenoide/carotenoides/carotenóide/flavonoide/flavonoides/flavonóide
fitormônio	auxina/giberelina
fixação	soldadura/soldagem/ligatura
flagelado	leishmania/leishmânia
flagelo	carestia/fome/apocalipse/maremoto/tsunami/catástrofe/fome
flama	labareda/ignição
flanco	base/hipotenusa
flauta	flautim/gaita-de-fole/gaitas-de-fole/pifaro/pífano/pífaro
flaw	bolha/defeito
flebite	tromboflebite
flecha	pináculo/seta
flor	aciano/alisso/anemona/anémona/aquilégia/aqüilegio/astropólio/begônia/ciclame/cosmos/dália/genciana/girassol/helianto/heliotrópio/hesperis/inflorescéncia/inflorescência/mal-me-quer/malmequer/margarida-vulgar/margaridinha/petunia/petúnia/peônia/sudario/tornassol/áster/anêmona/cosmo/crisântemo/dormideira/margarida/papoila/papoula/orquídea/cravo
flora	vegetação/jardim/autotrofismo/chaparral/criptogâmicas/criptógama/criptógamas/epifitismo/epífito/esporófito/fitoplâncton/gametófito/traqueófitos/arbusto/arvoredo/bienal/embrião/moita/bosque/mata/floresta
florada	inflorescéncia/inflorescência/crisântemo
floração	inflorescéncia/inflorescência/crisântemo
floresta	bosquete/selva/bosque/mata
florilégio	coroadeflores/antologia/compilação
fluido	líquido/gás
fluoresceina	eosina
fluorescencia	fosforescência
fluoresceína	eosina
fluorescência	fosforescência
fluorocarbono	clorofluorcarboneto/clorofluorcarbonetos/perfluorcarboneto
flutuação	vicissitude/diferença
fluxo	correnteza/descarga/jato/remoinho/runoff/voragem/drible/funil/furacão/sorvedouro/tufão/turbilhão/vórtice/espiral/redemoinho/corrente
fluxos	afluxo/afluência/efluxo/influxo
fluído	icor/líqüido
fobia	agorafobia
fobias	agorafobia
foca	otariidae
focinho	proboscide/probóscide/tromba
fofoca	boato/diz-que-diz-que/rumor/fama/renome
fogo	conflagração/fogueira/incêndio/labareda/ignição
foguete	panchão/cata-vento/míssil/estágio
foguetes	míssil/estágio
fogão	alto-forno/frágua/incinerador/incineradores/crematório/fornalha/forno
folha	lauda/escudeiro/página/fronde/gazeta/kleenex/papel-higiênico/tabloide/tablóide/folhas/diário/lata/jornal
folhadelata	lata/folha
folhagem	folha/fronde
folhas	lauda/escudeiro/espinafre/página/acelga/rebento/broto/folha
folêgo	exalação
fome	bulimia/inanição
fone	consoantes/semivogal/consoante/fonema/vogal
fonema	alofone/alofonia/consoantes/semivogal/consoante/vogal
foneticista	transcritor
fonologia	ortoepia/ortoépia
fonte	bebedouro/cunhador/manancial/proveniência/procedência/berço/delator/derivação/origem/lar/nascente/casa
fonógrafo	juke-box/jukebox/gramofone
fora-da-lei	chantagista/contraventor/facinora/gangster/homicida/ladra/mafioso/raptor/sequestrador/seqüestrador/conspirador/contrabandista/estuprador/facínora/gatuno/gângster/malfeitor/traficante/traidor/violador/assassina/cúmplice/incendiário/ladrão/assassino/bandido/marginal
forca	arranco/ímpeto/firewall/impulso
forma	circulo/fractal/mosaicos/sólida/triângulo/coluna/sólido/figura/linha/plano/ligação
formatação	inicialização
formato	circulo/inicialização/sólida/triângulo/coluna/sólido/figura/linha/plano/ligação
formação	alcantilado/cavernas/oca/penhasco/cordilheira/falésia/fila/furna/gruta/grutas/praia/caverna/declive/declives/serra/subida/aula/depressão/encosta/costa/ladeira/crista/nascente/bicha/linha/curso/aquifero/aquífero/aquíferos/aqüífero/desembocadura/diapiro/diápiro/forjamento/foz/orla/raster/delta/deltas/declives/elevação/costa/litoral/bicha
formiga	formiga-correição/formiga-de-cupim/formiga-lava-pés
formigas	formiga-correição/formiga-de-cupim/formiga-lava-pés
formigão	betão/cimento
formulação	abordagem
formulário	questionário
formão	cinzel
fornada	bolo/pão/pastel
fornalha	alto-forno/frágua/incinerador/incineradores/crematório/forno
fornalhas	alto-forno/frágua/incinerador/incineradores/crematório/fornalha/forno
fornecedor	camelô/dispensador/estoquista/provisionador/recrutador/revendedor/traficante/distribuidor/conexão
fornecimento	logistica/logística/rega/envio/reservatório/alimentação/subvenção/emissão
forno	alto-forno/frágua/incinerador/incineradores/crematório/fornalha/espeto
fornos	espeto
forragem	feno/relva/pastagem/fava/pasto
forragens	feno/forragem/relva/pastagem/fava/pasto
fortaleza	castelo/blocausse/cidadela/reduto/escarpa/estacada/paliçada/bastião/baluarte
fortificação	castelo/escarpa/estacada/paliçada/bastião/baluarte
fortuna	sorte
força	impulso/protesto/tumulto/reação/vigor/impulso/atração/energia/compreensão/arrancada/empuxo/invencibilidade/mãos-mortas/torque/coesão/efeitos/jamanta/moloch/propulsão/robustez/músculo/correção/impulsão/potência/vigor/afinidade/atração/pressão/tensão/poder/momento
fosfolipido	lecitina
fosfolípido	lecitina
fossa	trincheira/valo/vala
fossil	ammonoidea
fosso	areal
foto	plano/alargamento/daguerreotipo/daguerreótipo/espectrograma/holograma/xérox/ampliação/fotocópia/radiografia/planta/quadro/fotografia
fotografia	reflexão/plano/alargamento/chiaroscuro/cinematografia/daguerreotipo/daguerreótipo/diorama/espectrograma/filmagem/holograma/iconografia/panorama/xerografia/xérox/ampliação/colagem/foto/fotocópia/panorama/varredura/radiografia/planta/quadro/transparência/semelhança
fotógrafa	paparazzo/operador
fotógrafo	paparazzo/operador
fracassado	mané/underdog
fracasso	recidiva/inadimplência/lapso/quebra/derrota/perda/erro
fracção	mantissa
frade	irmão/franciscanos/franco-maçom/maçom
fragmento	apara/mínimo/porção/arilo/estípula/gavinha/lígula/micélio/pedacinho/pepita/rescaldo/talo/tépala/coto/faísca/pingo/toco/tálamo/cabelo/chapéu/dose/punhado/tanto/vestígio/ácaro/amostra/gota/traço/botão/carvão/bocado/pouco/órgão/sombra/pedaço/sinal
framboesa	amora-branca-silvestre
francesa	parisiense/normando
francês	anglo-normando/valão/occitano/parisiense/normando
frango	galinha/franguinha/pintainho/pintinho/capão/pinto/galo/galinha
fraqueza	astenia/caquexia/lassidão/pequenez/vulnerabilidade/atenuação/fragilidade/vulnerabilidade/letargia/debilidade
frasco	ampola/bandejao/bandejão/bilha/cabaceiro/cabaça/cantil/cuieira/cântaro/decanter/erlenmeyer/galheteiro/garrafão/jarro/porongo/jarra/jarro/tinteiro/garrafa
frase	epígrafo/ostinato/qüestão/interrogação/pergunta/questão
fração	mantissa
freguês	assinante/subscritor/leitor/cliente/comprador/consumidor/habitual
frei	irmão
freira	irmã
freiras	irmã
frente	fachada/frontispício/focinhos/portada/proa/tromba/focinho
frequencia	audio/radiofrequência/radiofreqüência/frequência/presença
frequência	audio/incidência/radiofrequência/radiofreqüência/incidência/presença
freqüência	audio/incidência/radiofrequência/radiofreqüência/incidência/frequência/presença
fresta	ranhura/fenda/crevasse/lacuna/rachadura/falha/fissura/fenda
fricção	tracção/tração/abrasão
frigideira	wok/caçarola/panela
frigorifico	frigoríficos/geladeira/refrigerador/cooler/isopor/refrigerador
frigorífico	frigoríficos/geladeira/refrigerador/cooler/isopor/refrigerador
frigoríficos	geladeira/refrigerador/congelador/cooler/freezer/isopor/refrigerador
frio	frialdade/frieza
frisador	barbeiro/cabeleireira/cabeleireiro
frivolidade	coisavã
fronteira	acostamento/berma/delimitação/itinerário/itinerários/percurso/rota/contorno/horizonte/superfície/margem/linha/curso/borda/estrada/caminho/limite/confins/latitude/loxodrómia/aba/beira/cumeeira/bainha/paralelo/periferia/perímetro/máximo/quadrante/crista/margem/lado/risco/borda/limite
fronteiras	delimitação/contorno/superfície/borda/fronteira/limite/confins/margem/borda/fronteira/limite
frugalidade	economia/parcimônia/parcimónia
fruta	figo/noz/tâmara/baga/banana/maçã/noz/fruto/ginja/morango/cereja/semente/acerola/akee/amêixoa/aquénio/aquênio/asimina/cariopse/cariópse/citrino/dióspiro/drupa/figueira-da-índia/framboeseira/goiaba/jaqueira/lichia/litchi/mamoeiro/mamão/mangostão/marmelo/meloeiro/noz-de-cola/nêspera/oxicoco/papaia/pitaia/pomo/pseudofruto/pseudofrutos/pêssego/rambotã/rambutão/sapoti/tangelo/ugli-fruit/uva/uva-do-monte/abacate/abacaxi/abricó/amora/ananás/arando/azeitona/baga/bolota/carambola/damasco/espiga/feijoa/jaca/jujuba/manga/maracujá/melão/nectarina/quiuí/vagem/amoreira/caqui/groselha/quivi/romã/ameixa/framboesa/granada/pêra/semente/grão/café/mirtilo
fruto	morango/semente/fruta/acerola/aquénio/aquênio/dióspiro/drupa/framboeseira/oxicoco/pomo/pseudofruto/pseudofrutos/uva-do-monte/amora/arando/azeitona/baga/bolota/espiga/vagem/amoreira/caqui/groselha/framboesa/fruta/mirtilo
fruto-do-mar	caridea/pop/calamar/camarão/polvo/caramujo
fuelóleo	gasolina/gasóleo
fuga	escapada/escape/evasão
fuinha	sacarrabos
fuinho	pica-pau-bico-de-marfim
funcionário	diplomata/magistrado/embaixador/jurista/juiz/servidor/burocrata/headhunter/inquisidores/meirinho/notário/pesador/questor/tabelião/vizir/incumbente/regulador/mandarim/promotor/titular/servidor/oficial
fundador	co-fundador/fundadora/incorporador/colonizador/mãe
fundamentos	abecedário/abecê/abc/rudimentos
fundação	caridade/base
fundição	armaria/arsenal
fundo	orçamento/depósito/base/batipelágico/tacão/talão/sola/leito/salto/pé
fundos	dotação/bolso/meios
fundura	calado/profundidade
fundão	abismo
funeral	inumação/sepultamento/enterro/sepultura
fungicida	griseofulvina/miconazol/nistatina/terbinafina
fungicidas	griseofulvina/miconazol/nistatina/terbinafina
fungo	micetes/bolor/mofo/basidiomicetos/líquen/líquenes/maitake/mycetozoa/míldio/shiitake/bolor/fermento/levedura/trufa
fungos	micetes/bolor/mofo/basidiomicetos/líquen/líquenes/maitake/mycetozoa/míldio/shiitake/bolor/fermento/levedura/trufa
funil	caribdis/caríbdis
função	biscate/cargo/ofício/vocação/arte/profissão/ocupação/emprego/trabalho/posição/catering/polinómio/polinómios/polinômio/métrica/cargo/isometria/agricultura/transformação/operador/contabilidade/fotografia/posto/lugar/posição
furacão	caribdis/caríbdis
furadeira	trado
furador	escriba
furna	gruta/grutas/caverna
furo	bueiro/olhete/punctura/punção/seteira/espiráculo/tranca/fechadura/perfurar/buraco
furto	roubalheira/roubo/assalto/peculato/apropriação
furúnculo	pústula
fusivel	disjuntor
fusão	sincretismo/confederação/aliança
fusível	disjuntor
futebol	râguebi/rúgbi
futebolista	goleiro/guarda-redes
futuro	amanhã
fuzil	carabina/winchester
fábrica	casademoinho/cervejaria/manufatura/usina/aciaria/destilaria/refinarias/salina/serraria/siderurgia/refinaria/fundição
fáscia	aponeurose
fã	torcedor
fé	doutrina/expetativa/convicção/religião/filosofia/expectativa/certeza/budismo/crendice/espirito/individualismo/maniqueismo/maniqueísmo/masdaísmo/pacifismo/paganismo/perspicácia/sikhismo/siquismo/superstição/teísmo/xamanismo/xintoismo/xintoísmo/zoroastrismo/espiritismo/hinduísmo/misticismo/cristianismo/filosofia/individualismo/taoismo/confiança/pensamento/teoria/opinião/responsabilidade/ideia
fécula	aipim/macaxeira/maisena/sagu/árum/mandioca
féretro	sarcófago
féria	picnic/lua-de-mel
férias	picnic/lua-de-mel
férmion	barion/barião/bárion/bárions/lépton/léptons
férmions	barion/barião/bárion/bárions/lépton/léptons
fêmea	garotinha/guria/menininha/meninota/mocinha/menina/garota/moça/rapariga/mulher/filha/mulher
física	electrónica/eletronica/eletrónica/eletrônica/acustica/acústica/aeronáutica/astronomia/astronáutica/biofísica/criogenia/cristalografia/electromagnetismo/electrostática/eletrostática/mecânica/reologia/termodinâmica/óptica/electromagnetismo/aviação
físico	astrónomo/astrônomo
fórmula	algoritmo/algoritmos/algorítmo/heurística
fósseis	ammonoidea
fóssil	ammonoidea
fôlego	exalação
fúrcula	espoleta
gabarito	ritmo
gablete	frontão
gadget	injector
gado	vaca/toiro/boi/touro
gafanhoto	gafanhoto-migratório
gafe	solecismo/fumble/tropeço/espetáculo
