ab-rogação	revogação
adulteração	dissimulação/enganação/mentira
adulto	anfitrião/hospedeiro/partido/profissional/mulher/homem/anciã/ex-cônjuge/pacifista/senior/idoso/ancião/personagem/caseiro/conservador/cosmopolita/velho/liberal/figura/tipo
adversidade	catástrofes/nadir/catástrofe/desastre
adversário	inimigo/luddismo
advogado	porta-voz/representante/constitucionalista/federalista/ideologista/introdutor/protecionista/secessionista/separatista/democrata/fan/libertário/maoísta/procurador/xiita/admirador/apresentador/torcedor/defensor/promotor/fanático/seguidor/amigo
advérbio	superlativo/comparativo
adágio	apotegma/gnomo/prolóquio/aforismo
adúltero	meretriz/prostituta
aerofólio	ala/asa/aileron/profundor/spoiler/elevador
aeromoço	aeromoça
aeronauta	piloto/aviatrix/aviadora/aviatriz
aeronave	bogie/truque
aeronáutica	avionica/aviónica/aviônica
aeroplano	bombardeiro/biplano/bogie/hidroaviões/monoplano/truque/hidroavião/caça
aeroporto	aeródromo/heliporto/pista
aerossol	emanações/fumo/vapores/nevoeiro/bruma/névoa/neblina/embaçamento/névoa/neblina
aerossóis	emanações/fumo/vapores/nevoeiro/bruma/névoa/neblina/embaçamento/névoa/neblina
aeródromo	aeroporto/heliporto/pista
aerólito	micrometeorito
aeróstato	balão
afecção	apego/afeição/respeito
afeição	predileção/apego/admiração/preferência/tendência/dolorimento/fascinação/finura/maciez/paixonite/solicitude/cordialidade/ágape/benevolência/lealdade/respeito/amor/tendência
afetação	postura
afetividade	apego/afeição/respeito
afeto	apego/afeição/respeito
aficionado	diletante
afiguração	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/imagem/figura/ilustração/modelo/desenho/audiograma/cosmografia/efígie/nomograma/presépio/projecção/ícone/documento/projeção/ícone/fotografia/imagem/apresentação/figura/ilustração/desenho
afilhada	afilhado
afilhado	afilhada
afinidade	simpatia
afirmativa	yes
afirmação	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/promessa/proposição/asserção/estimativa/orçamento/compromisso/explicação/fórmula/termo/declaração/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação/afirmativa/licitação/predição/alegação/eufemismo/ladainha/comentário/oferta/vocábulo/anotação/comunicação/denúncia/prognóstico/descrição/falsidade/aviso/declaração/mentira/pacto/palavra/previsão/solução/resposta/anúncio/nota/acordo
afixo	infixo/prefixo/prefixos/sufixo
aflição	tribulação/arquiinimigo/gólgota/nêmese/calamidade/deformidade/malformação/desgraça/flagelo/martírio/ataque
afluente	confluente/distributário
aforismo	apotegma/gnomo/prolóquio
africano	bantos/burundi/bérbere/euro-africano/gambiano/maliense/moçambiquense/suázis/togolense/tuaregues/tunesiano/algeriano/angolano/angolense/argelino/berbere/burundiano/cartaginês/congolense/congolês/etíope/fula/marroquino/queniano/ruandês/senegalês/sul-africano/ugandense/xhosa/zairense/zambiano/zimbabuano/zimbabuense/zâmbio/egípcio/moçambicano/nigeriano/somali/zulu
afro-asiático	camitas/berbere/egípcio
afronta	indignidade
afã	veleidade
agarrão	interceptação/recepção
agasalho	cardigan/cardigã/pulôver/camisola
agave	agave-azul/sisal
agenda	horário/programa
