abaixar	subordinar/subjugar/submeter/dominar
imaterializar	desencarnar
imbuir	tramar/fermentar
imitar	macaquear/emular/escarnecer/zombar/copiar
imobilizar	aturdir/atordoar/paralisar
imortalizar	monumentalizar
impactar	desconfortar/hidrolizar/influir/repercutir/sujeitar/influenciar/arriscar/comprometer/afetar/colorir/estimular/atacar/incomodar/atingir
impedir	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/ocluir/demover/entravar/interferir/barrar/estorvar/inibir/sustar/tapar/tolher/desconcertar/entupir/obstruir/travar/trancar/atrapalhar/excluir/defender/reter/evitar/segurar/parar
impelir	impacientar/instar/predicar/advocar/advogar/urgir/arguir/pressionar/apressar/pregar
impetrar	comandar/convocar/exigir/chamar/ordenar/instruir/dirigir
implantar	envazar/aninhar/envasar/nidificar/ninhar
implementar	executar/ligar
implicar	sugestionar/pressupor
implorar	insistir/importunar
impor	impingir/prescrever/receitar/ditar/comandar/ordenar
importar	contrabandear
importunar	assediar/aborrecer/molestar/irritar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/aborrecer/atormentar/corroer/crucificar/magoar/irritar/incomodar
impossibilitar	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/evitar/parar
impregnar	amonificar/imbuir/saturar/alcoolizar/medicar/encharcar/estufar
impressionar	comover/disturbar/emocionar/perturbar/deslumbrar/emudecer/sobressaltar/alhear/estontear/varar/apaixonar/assombrar/entristecer/infectar/turvar/aterrorizar/deprimir/desagradar/fascinar/alienar/conquistar/surpreender/gravar/penetrar/atacar/incomodar/tocar
imprimir	entalhar/italizar/reeditar/gravar
impugnar	desafiar/disputar
impulsionar	atirar/jogar/lançar/catapultar/dardejar/chutar/pregar/prender/carregar/lançar/bater
imputar	antropomorfizar/interiorizar/internalizar/reatribuir/externalizar/agradecer/sensualizar/culpar/responsabilizar/atribuir/personificar/projectar/projetar
inalar	fungar/aspirar/cheirar
inativar	entorpecer/paralisar
incapacitar	deter/confinar/reter/prender/manter
incendiar	calcinar/ignitar/suscitar/conflagrar/flamejar/fumar/incinerar/reacender/clarear/acender
incentivar	encorajar-se/patrocinar/encorajar/suportar
inchar	afofar/empolar/entumecer/intumescer/distender
incitar	desencaminhar/engodar/magoar/ofender/seduzir/atrair/provocar/esporar/esporear/fomentar/infatuar/reptar/aguilhoar/desencaminhar/encolerizar/engodar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/seduzir/acender/estimular/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/provocar/tocar
inclinar	cair/declivar/genuflexar/ajoelhar/cortejar/predispor/reclinar/subir
incluir	abranger/compreender/conter/ter/circundar/englobar/subsumir/abarcar/acarretar/coligar/involver/subordinar/classificar/pertencer/reter/contar/compreender/conter
incomodar	assediar/aborrecer/molestar/importunar/irritar/provocar/acossar/enfadar/inimizar/manietar/tormentar/antagonizar/retalhar/chatear/aborrecer/amolar/atormentar/corroer/crucificar/magoar/importunar/enfurecer/irritar
incorporada	reincorporar
incorporar	reincorporar/ilustrar/personificar/representar
incriminar	culpabilizar/culpar/caluniar/conspurcar/criminar/inculpar/difamar/indiciar/recriminar/denegrir/arguir/acusar/repreender
inculpar	recriminar/acusar/repreender
incumbir	consignar/encarregar/obrigar
indagar	bisbilhotar/xeretar/fofocar/consultar
indicar	agourar/cadastrar/prefigurar/augurar/prenunciar/pressagiar/profetizar/simbolizar/vaticinar/paquerar/assinalar/criticar/invalidar/prognosticar/ameaçar/reverberar/ler/predizer/sugerir/sinalizar/cantar/prever/significar/apontar/refletir/mostrar/registrar/dizer/representar
indiciar	tributar/queixar/taxar/reclamar
indignar	escandalizar/ultrajar/horrorizar/chocar/ofender
indispor	cansar-se/constipar/exaurir-se/aleijar/ferir/doer/exaurir/machucar
indispor-se	porfiar
indoutrinar	revolucionar
indulgir	torrar
induzir	persuadir/encorajar/compelir/impelir/instigar/obrigar/incitar/decidir/forçar/levar/deixar/fazer
inferir	silogizar/depreender/elicitar/extrapolar/generalizar/deduzir/induzir/perceber/saber/concluir/compreender/dizer/achar
inflamar	agitar
inflar	afofar/empolar/intumescer/distender/inchar
infligir	impingir/prescrever/receitar/ditar/comandar/ordenar
influenciar	dominar/decidir/cadenciar/ritmar/chantagear/convencer/cronometrar/indexar/matizar/predeterminar/predispor/prejulgar/persuadir/imprimir/pressionar/colorir/dispor/enfeitiçar/militar/reformar/formar/inclinar/encantar/controlar
influir	dominar/chantagear/convencer/matizar/prejulgar/persuadir/imprimir/pressionar/colorir/militar/formar
informar	desinformar/divagar/leccionar/lecionar/testificar/alertar/atualizar/descerrar/ensinar/atestar/divulgar/evidenciar/narrar/recontar/esclarecer/testemunhar/minimizar/avisar/enganar/soprar/advertir/instruir/apontar/introduzir/explicar/provar/revelar/lembrar/apresentar/contar/indicar/mostrar/desabusar/familiarizar/redizer/dedurar/denotar/descrever/pressagiar/reapresentar/reiterar/voluntariar/comunicar/evidenciar/narrar/propagandear/assinalar/relatar/denunciar/noticiar/notificar/orientar/avisar/sugerir/trair/advertir/sinalizar/prever/repetir/apontar/lamentar/explicar/anunciar/contar/indicar/mostrar/transmitir/dar
informar-se	constatar/averiguar/descobrir/aprender/descobrir/entender/sacar/pegar
infringir	conflitar/pecar/transgredir/trespassar/invadir
ingerir	deglutir/ingurgitar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/fartar/locupletar/canibalizar/drogar/saciar/sorver/beber/enxugar/consumir/comer/satisfazer/tomar/encher/usar/tocar
ingressar	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/associar-se/unificar/penetrar/organizar/reunir
ingurgitar	devorar
inibir	coibir/entravar/serenar/deter/moderar/conter
iniciar	inaugurar/endereçar/lidar/tratar/introduzir/falar/cobrir/inovar/raiar/ressurgir/acometer/activar/alvorecer/atear/constituir/deslanchar/despontar/empreender/fundar/abraçar/desencadear/inaugurar/remontar/confabular/recomeçar/mergulhar/arranjar/embarcar/estabelecer/abrir/organizar/realizar/atacar/colocar/lançar/começar
injectar	vacinar/inocular
injetar	vacinar/inocular/tomar
injuriar	vilipendiar/vituperar/denegrir/insultar
injustiçar	victimizar/vitimar
inocentar	purgar/vindicar/acobertar
inovar	debutar
inquietar	consumir/comer/incomodar
inrijecer	rigidificar/enrijecer
inscrever	registar/registrar/alistar-se/matricular/sindicalizar/ingressar/alistar
inseminar	polinar/polinizar/emprenhar/engravidar/estratificar
inserir	cateterizar/embutir/plugar/encaixar/transplantar/implantar/injetar/penetrar/forçar/colocar/passar
insistir	reinvindicar/asseverar/sustentar/manter
inspeccionar	vistoriar/perambular
inspecionar	revistar/procurar/auscultar/autopsiar/comprovar/escrutinar/inspeccionar/revistar/vistoriar/perambular/buscar/examinar/procurar
inspirar	fungar/alentar/aspirar/inalar/cheirar/encorajar
instalar	reinstalar/empossar/investir
institucionalizar	hospitalizar/internar
instruir	reforçar/educar/preparar/treinar/palestrar/desfraldar/edificar/indoutrinar/retreinar/desaprender/catequizar/clarificar/esclarecer/educar/comandar/introduzir/treinar/iniciar/falar
insultar	vilipendiar/vituperar/denegrir
insurgir	sublevar/amotinar/revoltar
insurgir-se	sublevar/amotinar/revoltar
integrar	fundir-se/intercalar/reincorporar/unificar/unir
inteirar	constatar/averiguar/descobrir/aprender/descobrir/entender/sacar/pegar
intensificar	acerar/agilizar/chamejar/amplificar/coruscar/flamejar/aguçar/aprofundar/redobrar/acelerar/afiar/apressar/aumentar
inter-relacionar	tutelar
interagir	tratar/encontrar/reunir/afeminar/tramitar/transaccionar/transacionar/interferir/marginalizar/relacionar-se/comunicar/condescender/conspirar/intervir/associar/interpor/relacionar/socializar/manipular/convidar/combinar/transmitir/controlar
intercalar	consolidar-se/consolidar/coalescer/federalizar-se/federar-se/consubstanciar/federar/sincretizar/federalizar/convergir
interceptar	grampear
interessar	intrigar/atrair/fascinar/absorver/engajar/encantar/ocupar
internar	hospitalizar
interpenetrar	invadir
interpretar	glossar/re-explicar/moralizar/reinterpretar/cantar
interrogar	perguntar-se/sondar/ponderar/questionar/pedir
interromper	pausar/espirar/respirar/parar/intrometer/fracturar/intrometer-se/expirar/interpor/fraturar/suspender/vencer/congelar/parar
intersectar	cruzar
intimar	comandar/convocar/exigir/chamar/ordenar/instruir/dirigir
intimidar	terrificar/horripilar/aterrorizar/desalentar/consternar/horrorizar/amedrontar/assustar/maltratar/ameaçar/impressionar
intoxicar	enebriar/exultar/exaltar/inchar/excitar
intrigar	capturar/prender
introduzir	cateterizar/embutir/plugar/reintroduzir/encaixar/insinuar/transplantar/imigrar/implantar/injetar/inserir/interpor/penetrar/forçar/apresentar/colocar/passar
intrometer	disturbar/interromper
intrometer-se	disturbar/interromper/atrapalhar/interromper/penetrar/incomodar
inundar	encharcar/afundar
invadir	craquear
invejar	cobiçar
inventar	manufaturar/fabricar/idealizar/mitologizar/mitificar/confabular
inverter	desincronizar/metamorfosear/transpor/transfigurar/adulterar/alternar/desfazer/falsificar/reverter/retificar/corrigir/trocar/mudar
investigar	espeluncar/googlar/guglar/re-examinar/re-explorar/referenciar/apurar/espiar/averiguar/mapear/consultar/julgar
investir	especular/re-investir/sagrar/entronar/consagrar/ordenar
invocar	apelar/rogar/suplicar
involver	embolar/aprisionar/arrastar/implicar
ir	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/departir/pisar/retirar-se/devolver/escapulir/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/fugir/retornar/acompanhar/atravessar/pular/saltar/sair/caminhar/dirigir/escapar/correr/partir/seguir/andar/subir/passar/cair/apressar-se/baldear/bicicletar/capengar/coxear/deambular/demorar/descarrilar/desocupar/despachar-se/entender-se/esgueirar/esquiar/ganir/irradiar-se/itinerar/joeirar/mancar/percorrer/sobrevoar/sonambular/tardar/tropicar/vadear/cavalgar/departir/descarrilhar/desfilar/flanquear/pedalar/ziguezaguear/desertar/escapulir/peneirar/pisotear/retrogradar/rondar/serpentear/sulcar/sumir/ascender/flutuar/nadar/navegar/progredir/radiar/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/evacuar/irradiar/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/desaparecer/espalhar/sair/vir/caminhar/dirigir/chegar/continuar/trocar/partir/seguir/abandonar/deixar/virar/andar/subir/passar/pegar/cair
irar	injuriar/ofender/insultar/irritar/abespinhar/agravar/combustir/encolerizar/exacerbar/exasperar/enraivecer/importunar/enfurecer/irritar/incomodar
ironizar	escarnear/tantalizar/sacanear/mangar/pagodear/zoar/escarnecer/rir/ridicularizar/sacanear/zombar
irradiar	alumiar/piscar/cintilar/brilhar
irritar	assediar/coçar/aborrecer/molestar/importunar/esfregar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/beliscar/aborrecer/atormentar/corroer/crucificar/magoar/importunar/incomodar
irromper	atrapalhar/interromper/penetrar/incomodar
isentar	poupar/desregulamentar/desregular/franquear/escusar/dispensar
isolar	insular/quarentenar
jazer	anteceder/ladear/encabeçar/flanquear/mediar/subjazer/arbitrar/bronzear/dormir/enfileirar/intervir/repousar/descansar/focalizar/preceder/cochilar/localizar/dominar/dar
jogar	arremessar/arremeter/defrontar/confrontar/encarar/apostar/brincar/atirar/lançar/curvetear/defenestrar/escamotear/garotar/prestidigitar/traquinar/zuar/alijar/prostrar/volear/bagunçar/completar/apanhar/apostar/capturar/anunciar/disparar/pular/sacudir/atirar/declarar/lançar/passar
julgar	hierarquizar/inocentar/ranquiar/antecipar/absolver/medir/condenar/confessar/classificar/estimar/avaliar/pensar/reconhecer/admitir/escolher/achar/beatificar/imputar/rejulgar/reouvir/abastardar/canonizar/desqualificar/ensaiar/equiparar/formalizar/oficializar/prejulgar/quantizar/arbitrar/entoar/pronunciar/propagandear/truncar/associar/criticar/prognosticar/revogar/rotular/atribuir/designar/menosprezar/subestimar/testar/predizer/qualificar/anular/cancelar/certificar/chutar/desaprovar/tentar/estimar/prever/aprovar/avaliar/decidir/rejeitar/contar/declarar/aceitar/considerar/achar/passar
juntar	catar/aderir/fixar/colher/apanhar/grudar/amarrar/atar/colar/prender/acasalar/aferrolhar/anastomosar/anilhar/apor/arrear/cangar/encilhar/enfardar/enxertar/interligar/jungir/recasar/respigar/soldar/acoplar/aglutinar/angariar/atrelar/copular/etiquetar/interconectar/reagrupar/sindicar-se/sovietizar/ajuntar/alinhavar/casar/colecionar/incorrer/conectar/cravar/emparelhar/fixar/inserir/mobilizar/rotular/afixar/anexar/colher/recolher/selar/convocar/suplementar/coletar/grudar/montar/amarrar/colar/compor/pregar/introduzir/guardar/prender/unir/ligar/reunir/pegar
juntar-se	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/associar-se/unificar/penetrar/organizar/reunir
jurar	protestar/reivindicar/confirmar/afirmar/declarar/manter
justificar	explicar-se/justificar-se/paliar/pleitar/atenuar/desculpar-se/mitigar/remediar/desculpar/explicar
lambuzar	esmaecer
lamentar	embirrar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/sentir/gritar/incomodar
laminar	argentar/cromar/niquelar
lançar	arremessar/arremeter/atirar/jogar/quebrar/arrojar/defenestrar/escamotear/prestidigitar/rotear/alijar/difundir/esparramar/prostrar/reclassificar/redirecionar/projetar/referir/disparar/pular/sacudir/espalhar/atirar/enviar/jogar/passar
largar	demitir-se/quitar/resignar/renunciar/abandonar
lastimar	preocupar-se/comiserar/embirrar/deplorar/pentelhar/ralhar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/lamentar/gritar/incomodar
lavar	lavar-se/limpar/banhar-se/bochechar/descontaminar/duchar/ensaboar/gargarejar/enxaguar/esfregar/limpar/bater
lavar-se	bochechar/gargarejar/enxaguar/esfregar
lavrar	estevar/estorrar/gradar/arar
leccionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
lecionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
legalizar	monetizar
legar	lembrar-se/lembrar
legitimar	monetizar
lembrar	relembrar/recordar/rever/reter/reconhecer/caracterizar/caraterizar/recorrer/regressar/voltar/rever/conhecer/qualificar
lembrar-se	reconhecer/rever/conhecer
ler	anagramar/anagramatizar/reler/decifrar/indicar/dizer/bater
lesar	aferroar/apunhalar/esfaquear/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
lesionar	aferroar/apunhalar/esfaquear/lesar/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
levantar	bombear/garfar/hastear/içar/alçar/levitar/armar/enfileirar/erguer/agitar/aumentar
levar	confiscar/apreender/adoptar/devolver/voltar/adotar/retornar/transportar/trazer/carregar/tirar/aerotransportar/arcar/arrebatar/encaçapar/entranhar/irradiar-se/reapropriar/transviar/enredar/trotar/desembarcar/privar/radiar/marchar/recolher/acumular/assumir/auxiliar/coletar/irradiar/sinalizar/retirar/transportar/ajudar/guiar/remover/transmitir/trazer/chegar/aceitar/reunir/carregar/conduzir/tirar
liberalizar	liberar
liberar	sangrar/poupar/descolonizar/descongestionar/desenredar/desentupir/desregulamentar/desregular/desvencilhar/ejacular/excusar/expectorar/ovular/alforriar/desobstruir/peidar/supurar/vomitar/abortar/emancipar/eximir/isentar/desencadear/escusar/expelir/cuspir/dispensar/soltar
libertar	desencadear/soltar
licenciar	credenciar/reconhecer/franquiar/privilegiar
lidar	gerenciar/aguentar/cartear/discorrer/administrar/enfrentar/lotear/teologizar/coordenar/defrontar/gerenciar/gerir/improvisar/discursar/discutir/processar/atribuir/confrontar/sobreviver/corresponder/cuidar/tratar/aplicar/organizar/satisfazer/controlar/dirigir/usar/falar/conduzir/dar
liderar	capitanear
ligar	interligar/acoplar/interconectar/sindicar-se/amordaçar/laçar/desligar/anexar/amarrar/atar/apagar/juntar/unir
limitar	constrangir/conquistar/sufocar/classificar/reprimir/suprimir/restringir/conter/controlar/contentar/demarcar/margear/abnegar/abster/cercear/delimitar/domar/estorvar/inibir/mortificar/crucificar/obstruir/subjugar/impedir/desanimar/imobilizar/reprimir/suprimir/localizar/marcar/regular/recusar/restringir/treinar/satisfazer/controlar/prender/ligar/reduzir
limpar	lavar-se/escovar/varrer/lavar/banhar-se/bochechar/descongestionar/descontaminar/desempoeirar/desenredar/desentupir/desinfectar/desinfetar/desmatar/desnazificar/duchar/ensaboar/higienizar/catar/desobstruir/gargarejar/sanitizar/desnudar/enxaguar/escovar/varrer/enxugar/esfregar/soltar
liquefazer	degelar/derreter/descongelar/amolecer/destilar/condensar/fundir
liquidar	amortizar
liquidificar	degelar/derreter/descongelar/amolecer/destilar/condensar/fundir
listar	inventoriar/itemizar/indexar
livrar	aliviar/declorinar/defibrinar/delocalizar/descafeinar/desionizar/desoxigenar/desulforizar/descartar/purificar/limpar
localizar	basear/desenterrar/adquirir
lograr	atraiçoar/emboscar/trair/burlar/ludibriar/mistificar/tapear/trapacear/enganar/trair
lotear	alocar/reservar/separar
louvar	preconizar/publicitar/recomendar/divulgar/promover/anunciar/comendar/eulogizar/canonizar/ovacionar/parabenizar/adular/clamar/congratular/aclamar/aplaudir/rachar/exaltar/glorificar/bajular/saudar/aprovar
lucrar	capitalizar
lustrar	aculturar/civilizar/escolar/alisar/educar/polir/cultivar/treinar
lutar	pugnar/resistir/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/obstinar-se/recalcitrar/digladiar/assaltar/batalhar/brigar/repelir/defender/atacar/resistir/conduzir
luxuriar	saciar
luzir	coriscar/coruscar/faiscar/opalescer/resplandecer/tremeluzir/lucilar/titilar/arder/cintilar/brilhar/queimar
machucar	aferroar/lesionar/apunhalar/esfaquear/lesar/ferir/danificar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/agoniar/excruciar/incapacitar/formigar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/torcer/atirar/incomodar/quebrar
macular	poluir/lambuzar/contaminar/enlamear/sujar
magoar	apiedar/apiedar-se/compadecer/compadecer-se/dilacerar/humilhar/prantear/descompor/lacerar/lastimar/mortificar/alfinetar/aviltar/ofender/insultar/rebaixar/lamentar/machucar
malhar	treinar
malograr	perder/borrar/ferrar/arruinar/falhar/cair
maltratar	victimizar/tiranizar/vitimar/dominar
manar	entornar/verter/derramar/segregar/escoar/redemoinhar/fluir/jorrar/circular/girar/correr
manchar	esmaecer/poluir/salpicar/lambuzar/macular/contaminar/enlamear/sujar
mandar	comandar/convocar/exigir/chamar/ordenar/preponderar/prevalecer/instruir/dirigir/registrar
manejar	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar/empunhar/manusear/bombear/brincar
mangar	paquerar/desacreditar/ridicularizar/sacanear/expor/provocar/satirizar/ridicularizar
manifestar	autenticar/notarizar/esclarecer/condenar/refletir
manifestar-se	piquetar
manipular	baralhar/instigar/operar/embaralhar/amassar/trabalhar/controlar/misturar/provocar/empunhar/manejar/manusear/bajular/brincar/exibir/treinar
manobrar	estacionar/acuar/encurralar/pilotar/navegar/emboscar/canalizar/guiar/conduzir
manter	persistir/perseverar/armazenar/prolongar/financiar/alongar/acumular/negar/sustentar/suportar/guardar/acautelar/agrilhoar/distanciar-se/embalsamar/perpetuar/acorrentar/alegar/algemar/arrebanhar/subsidiar/subvencionar/armazenar/distanciar/economizar/fiar/mumificar/pressurizar/proclamar/retomar/vindicar/afastar/deter/patrocinar/prover/recomeçar/deduzir/poupar/preservar/conservar/prosseguir/amarrar/atar/registar/afirmar/reter/estar/guardar/declarar/registrar/continuar/segurar/ficar
manufaturar	mitologizar/mitificar/confabular
manusear	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar/empunhar/espancar/manejar/maltratar/bombear/manipular/brincar
mapear	triangular
maquiar	empoar/realçar/enfatizar/pintar
maquilar	empoar/realçar/enfatizar/pintar
maquinar	conchavar/conjurar/conluiar/intrigar/compactuar/conspirar
marcar	grifar/sublinhar/ondear/estacar/estigmatizar/invalidar/traçar/delinear
margear	aperrear/atazanar/chicanear/fuxicar
marginalizar	boicotar
marrar	memorizar/decorar
martelar	marretar/foliar
mascar	roer/morder
mascarar	camuflar/dissimular/disfarçar/esconder
mastigar	roer/mascar/morder
matar	decapitar/degolar/executar/apedrejar/chacinar/empalar/empeçonhar/justiçar/lapidar/linchar/suicidar/suicidar-se/trucidar/aniquilar/balear/devastar/dizimar/electrocutar/eletrocutar/exterminar/fazerdormir/massacrar/sacrificar/abater/intoxicar/vaporizar/assassinar/erradicar/afogar/asfixiar/liquidar/despachar/estrangular/neutralizar/sufocar/eliminar/envenenar/extinguir/suprimir/executar
materializar	sair
meandrar	serpentear
mecanizar	deshumanizar
medicar	narcotizar/dopar/drogar
medir	durar/pesar/enaltecer/reavaliar/elogiar/estandardizar/padronizar/valorizar/calibrar/louvar/triangular/censurar/avaliar/corrigir/pesar
melhorar	aprimorar/convalescer/reparar/emendar/lustrar/consertar/polir/recuperar/refinar/reformar/estabelecer/embonecar/perfazer/atenuar/cicatrizar/confortar/empetecar/sarar/amenizar/aperfeiçoar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/curar/educar/frutificar/sublimar/purificar/acalmar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/levantar
memorizar	alternar
mencionar	aludir/citar/invocar/desenterrar/criticar/comentar/citar/referir/lembrar/apresentar/indicar/levantar
mendigar	esmolar
menear	sacudir/agitar
menosprezar	escarnear/tantalizar/sacanear/debochar/mangar/pagodear/zoar/desabonar/desprestigiar/escarnecer/rir/desdenhar/desacreditar/esnobar/ridicularizar/sacanear/zombar
mensurar	cronometrar/pesar/calibrar/triangular/medir/titular/pesar/andar
mentir	perjurar
mesclar	misturar
meter	fornicar
mexer	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater/escorrer/jogar-se/movimentar/mutuar/pinotear/punhetar/ribombar/surpreender-se/unir-se/vassourar/abalar/bailar/chafurdar/masturbar/oscilar/reciprocar/repugnar/trovoar/dançar/desequilibrar/dirigir-se/enojar/fluir/gravitar/horripilar/ondular/riscar/acenar/chupar/recuar/revoltar/vibrar/clicar/pulsar/repelir/tropeçar/varrer/violar/encostar/voar/assumir/montar/rolar/escalar/acordar/perturbar/atravessar/pular/saltar/tremer/desaparecer/correr/agitar/virar/subir/bater
migrar	emigrar/imigrar
militarizar	remilitarizar/mobilizar
mimosear	beijar
minar	minerar
minguar	encolher/amainar/definhar/transcorrer/contrair-se/murchar/abater/amenizar/decrescer/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/descer/enfraquecer/baixar/desaparecer/reduzir/diminuir/cair
minimizar	banalizar/derrogar/descreditar/trivializar/desabonar/desprestigiar/denegrir/desonrar/depreciar/desacreditar/danificar/destruir
mirar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver/custodiar/direccionar/embasbacar/embasbacar-se/invigilar/vigiar/flertar/admirar/contemplar/direcionar/apontar/olhar/dirigir/considerar/ver/manter
misturar	atabalhoar/incorporada/mesclar/reembaralhar/aliar/enredar/sincretizar/agregar/incorporar/laçar/integrar/embaralhar/acrescentar/combinar/confundir/cortar
mitigar	aliviar
mobiliar	redecorar
modelar	atar/plasmar/achatar/amoldar/individualizar/retorcer/aplainar/arredondar/esculpir/cristalizar/distorcer/moldar/remodelar/deformar/enxugar/forjar/fundir/acomodar/reformar/circular/torcer/transformar/enrolar/cortar
moderar	refrear/confinar/limitar/controlar/prender/segurar
