abaixar	subordinar/subjugar/submeter/dominar
amarrar	acorrentar/amordaçar/laçar/atar
amassar	provar
ameaçar	oferecer
amedrontar	terrificar/horripilar/aterrorizar/consternar/horrorizar/assustar/intimidar/impressionar
amenizar	enrijar/actualizar/atualizar/confortar/modernizar/otimizar/sincopar/enrijecer/especializar/flexionar/amortecer/variar/qualificar/acalmar/endurecer/estragar/restringir/temperar/aliviar
amolar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/afiar/importunar/irritar/incomodar
amolecer	descongelar
amontoar	enfardar/angariar/colecionar/incorrer/recolher/coletar/guardar/reunir
amortecer	petrificar/suavizar/enfraquecer
amotinar	sublevar/revoltar
amotinar-se	sublevar/amotinar/revoltar
amparar	sediar/acolher/hospedar
ampliar	intensificar/estender/aumentar/globalizar/maximizar/multiplicar/territorializar/alongar/elevar/expandir/regenerar/estender/subir/aumentar
analisar	decompor
analizar	comparar/examinar/experimentar/auditar/auditorar/escrutinizar/anatomizar/diagnosticar/minuciosamente/pormenorizar/reexaminar/discernir/traçar/checar/investigar/pesquisar/rever/conferir/inspecionar/buscar/explorar/examinar/procurar/seguir/considerar/ver
andar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/ir/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/excursionar/ganir/itinerar/joeirar/mancar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/velejar/ziguezaguear/constitucionalizar/galopar/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/caminhar/continuar/trocar/seguir/virar/ir/subir/passar/pegar/cair
anestesiar	eterizar
anexar	fixar/amarrar/atar/prender/anilhar/apor/arrear/cangar/encilhar/jungir/atrelar/etiquetar/ajuntar/cravar/inserir/rotular/afixar/selar/suplementar/colar/pregar/introduzir/prender/unir/pegar
angariar	poupar
angustiar	agoniar/atribular/estressar/excruciar/cercear/entristecer/torturar/atormentar/cercar/esgotar/incomodar
animar	recrear/divertir/reanimar/reavivar/rejubilar/renascer/entusiasmar/envigorar/vivificar/alentar/exultar/encorajar/reviver/seduzir/tentar
animar-se	rejubilar/exultar
ansiar	suspirar/desejar/ambicionar/cobiçar/esperançar/invejar/aguardar/perseguir/querer/esperar/procurar/desejar
antecipar	conjecturar/hipotetizar/teorizar/pressupor/presumir/especular/supor/assumir/confiar/supor/acreditar/pensar/esperar/achar
antipatizar	detestar/odiar/ressentir
anular	cassar/rescindir/reverter/revogar/cancelar/descumprir/invalidar/revogar/recolher/cancelar
anunciar	postar/apregoar/trunfar/reclassificar/advogar/divulgar/promulgar/propagandear/reportar/relatar/denunciar/promover/berrar/lutar/soar/agitar
apagar	retirar/cortar/obliterar/desmagnetizar/mistificar/desaprender/desligar/esquecer/cancelar/extinguir/reprimir/suprimir/cortar
apanhar	arapucar/armadilhar/caçar
aparar	cisalhar/tosar/podar
aparecer	vazar/comparecer/destacar-se/mostrar-se/re-emergir/reaparecer/ressaltar/aflorar/encontrar-se/reluzir/evidenciar/manifestar/emergir/ocorrer/surgir/sair/escapar
aparelhar	blindar/encamisar/encasacar/encouraçar/re-equipar/reaparelhar/agasalhar/calçar/entronar/fantasiar/amordaçar/armar/mecanizar/motorizar/investir/vestir/vestido/cobrir
apavorar	apavorar-se/pirar/temer
apavorar-se	pirar
aperceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperceber-se	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperfeiçoar	aprimorar/reparar/emendar/lustrar/consertar/polir/refinar/reformar/melhorar/embonecar/perfazer/atenuar/empetecar/optimizar/otimizar/amenizar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/educar/frutificar/polir/sublimar/purificar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/melhorar/levantar
apertar	atarrachar/rosquear/comprimir/esmagar/espremer/contrair/tensionar/espremer/estrangular/empurrar/torcer
apetrechar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
apiedar	preocupar-se/comiserar
apiedar-se	preocupar-se/comiserar
apinhar	pulular/lotar/apertar
aplainar	rolar
aplaudir	vivar/ovacionar/clamar/aclamar/louvar
aplicar	temperar/executar/ligar/passar
apoderar-se	esbulhar/arrogar/extorquir/saquear/usurpar/pilhar/retomar/recapturar/resgatar/furtar/roubar
apodrecer	biodegradar/gangrenar/necrosar
apoiar	acorrer/respaldar/endossar/secundar/justificar/perdoar/socorrer/racionalizar/assistir/auxiliar/aprovar/explicar/ajudar/apadrinhar/acolher/garantir/patrocinar/encorajar/promover/estimular/defender/suportar
apontar	direccionar/dirigir-se/assinalar/reverberar/mirar/direcionar/refletir/dirigir/manter
apoquentar	titubear
apor	afixar/selar
aporrinhar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
aposentar	jubilar
apostar	jogar/dobrar
aprazar	cronificar
aprazer	encarecer/encantar
apreciar	distrair-se/divertir-se/agradecer/gostar/reconhecer
apreender	guarnecer
aprender	marrar/estudar/preparar-se/reaprender/assimilar/exercitar/praticar/testar/acompanhar/decorar/treinar
apresenta	constar/gabar-se/estrelar/protagonizar/involver/possuir/exalar/portar/implicar/ler/ter/usar/dizer/carregar
apresentar	actuar/desvirar/distorcer/manifestar/demonstrar/expor/atuar/exibir/revelar/descobrir/enrolar/mostrar/trazer/representar/tocar/fazer/empavonar/estreiar/pavonear/reintroduzir/tencionar/argumentar/brandir/ostentar/performar/discursar/flutuar/posar/arguir/delinear/ocorrer/projectar/projetar/reger/situar/localizar/exibir/refletir/abrir/indicar/mostrar/agitar/conduzir
apressar	correr/borboletear/esvoaçar/acelerar/correr
apressar-se	correr/borboletear/esvoaçar
aprofundar	acerar/agilizar/chamejar/coruscar/flamejar/redobrar/acelerar/afiar/apressar
aprontar	providenciar/socializar/cultivar/trabalhar/preparar
