abandonar	perder
significar	denotar/apontar/indicar/dizer
situar	alinhar
soar	tocar/batucar/borburar/tique-taque/buzinar/chocalhar/crepitar/guinchar/ratear/ronronar/rugir/sussurrar/apitar/assobiar/borbulhar/ecoar/uivar/ressoar/reverberar/bater
sobrevir	derivar/resultar
socializar	divertir/entreter
socorrer	facilitar/aliviar
sofrer	congelar/afligir-se/prantear/padecer/magoar/lamentar/ter
solicitar	mendigar/demandar/exigir/convidar/pedir/reivindicar/convidar/requerer/reclamar/organizar
solidificar	gelar/congelar
soltar	latir/ladrar/relinchar/ecoar/repetir
solucionar	inferir/adivinhar/supor
somar	pontuar/incluir/combinar/unir/misturar/reunir
subir	galgar/trepar/ascender/montar/emergir/crescer/aumentar
substanciar	validar/demonstrar
substituir	converter/trocar/mudar
suceder	efectuar/efetuar/alcançar/obter/realizar/atingir/materializar/re-ocorrer/reincidir/calhar/recorrer/derivar/resultar/ocorrer/prosseguir/repetir/acontecer/ir
sugerir	advocar/recomendar/urgir/promover
sumir	esvanecer/desaparecer
suportar	acorrer/socorrer/validar/demonstrar/assistir/auxiliar/ajudar/encorajar/promover/estimular
suprir	apetrechar/aparelhar/equipar/abrigar/amparar/mobiliar/armar/despejar/prover/derramar/fornecer/alimentar/dar
surgir	mostrar-se/aparecer
suspender	interromper/parar
sustentar	validar/demonstrar
tampar	disfarçar/mascarar/embrulhar/embalar/encobrir/esconder/cobrir/encadernar/sepultar/soterrar/revestir/submergir/enterrar/aplicar/colocar/cobrir
tapar	disfarçar/mascarar/encobrir/esconder/sepultar/soterrar/enterrar
teimar	reinvindicar/asseverar/sustentar/manter
telecomunicar	telefonar/chamar
tensionar	alongar/esticar/estender
tentar	arriscar
ter	reter/guardar/segurar/manter/contrair/sustentar/sofrer/manter
terminar	encerrar/finalizar/acabar/abortar/cumprir/efetuar/suspender/finalizar/resolver/interromper/decidir/executar/concluir/desistir/realizar/acabar/aceitar/parar/abandonar/atingir
tirar	amputar/deletar/devolver/voltar/arrastar/resgatar/cavar/escavar/retornar/retirar/apagar/sacar/desempacotar/desentranhar/desmarcar/destripar/desventrar/desviscerar/esventrar/desmantelar/desprender/estripar/tossir/desalojar/eviscerar/pigarrear/descascar/escovar/retirar/tremer/remover/sacar/limpar
tiritar	tremelicar/estremecer/tremer
tocar	prensar/rodear/contornar/golpear/afagar/colidir/pressionar/apertar/atirar/jogar/atingir/lançar/bater/atritar/aderir/golpear/manejar/roçar/arranhar/manusear/acertar/raspar/manipular/chutar/colar/cobrir/bater
tomar	bebericar/deglutir/ingurgitar/papar/fumar/sorver/beber/engolir/comer/agarrar/capturar/experimentar/provar/segurar/pegar/raptar/seqüestrar/sugar/chupar/sequestrar/beber/consumir/comer/capturar/usar/pegar
topar	admitir/aceitar
torcer	acovardar/acovardar-se/debruçar/inclinar
tornar	descontrair/perecer/falecer/levantar-se/despertar/expirar/relaxar/decair/piorar/acordar/morrer/congelar/acalmar-se/carburar/ebulir/nascer/azedar/combustir/conflagrar/engordar/emagrecer/relaxar/acertar/assentar/esvaziar/fechar/estragar/ferver/retificar/acender/corrigir/abrir/estar/melhorar/encher/queimar/ficar
tornar-se	defletir/encarar/curvar/dobrar/derrubar/girar/virar
trabalhar	laborar/exercer/ralar/ocupar/servir
transferir	mandar/ceder/enviar/entregar/passar/dar/institucionalizar/internar/admitir/trocar/entregar/dar
transformar	martelar/forjar/trabalhar
transmitir	indagar/mensurar/quantificar/redigir/agradecer/mandar/remeter/perguntar/saudar/escrever/apreciar/enviar/falar/dizer/entregar/gesticular/institucionalizar/telecomunicar/dialogar/proferir/dirigir-se/internar/compartilhar/exalar/manifestar/remeter/exprimir/verbalizar/conversar/demonstrar/despachar/informar/expressar/significar/admitir/indicar/mostrar/enviar/falar/dizer/passar
transmudar	trabalhar
transportar	devolver/voltar/retornar/carregar/aerotransportar/aviar/despachar/enviar
transubstanciar	trabalhar
traspassar	perfurar/furar
tratar	amimar/mimar/mimosear/afagar/injustiçar/ironizar/administrar/cauterizar/desconsiderar/esnobar/maltratar/operar/ignorar/menosprezar/zombar/dispensar/queimar
trazer	devolver/mandar/remeter/voltar/retornar/enviar/entregar/aviar/institucionalizar/internar/despachar/admitir/enviar
traçar	escrever
tremer	estremecer/tremular/tiritar/tremelicar/estremecer/tiritar
tremular	tremelicar/estremecer/tiritar/tremer
trocar	permutar/vender
unificar	casar-se/mesclar/esposar/casar/combinar/juntar/misturar
unir	fixar/amarrar/atar/prender/acasalar/anilhar/acoplar/copular/etiquetar/inserir/rotular/anexar/suplementar/grudar/colar/pregar/introduzir/juntar/prender/pegar
urrar	esganiçar/gritar
usar	devotar/compartir/dedicar/partilhar/aproveitar/compartilhar/consagrar/comprometer/explorar/dividir/desfrutar/exercer/gozar/desperdiçar/empregar/aplicar/experimentar/perder
utilizar	devotar/compartir/dedicar/partilhar/aproveitar/compartilhar/consagrar/comprometer/explorar/usar/dividir/desfrutar/exercer/gozar/desperdiçar/empregar/aplicar/perder
valorizar	reconhecer
variar	adequar/adaptar/ajustar
ver	fitar/prezar/respeitar/venerar/vislumbrar/espiar/encarar/contemplar/olhar/embasbacar/embasbacar-se/escrutinar/inspeccionar/revistar/valorizar/vistoriar/admirar/incluir/inspecionar/buscar/contemplar/gostar/apreciar/julgar/procurar/considerar/manter
verbalizar	cochichar/balbuciar/sussurrar/resmungar/murmurar/berrar/cantar/contar/falar/gritar/dizer/balbuciar/gaguejar/ladrar/bradar/proclamar/vociferar/discutir/murmurar/tagarelar/conversar/compor/reclamar/escrever/soltar/desejar/falar/dizer/representar
vergar	acovardar/acovardar-se/debruçar/inclinar
vestir	caber/experimentar/pôr/usar/trocar/colocar/mudar
vestir-se	caber/vestir/pôr/usar/trocar/colocar/mudar
vexar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
viajar	engatinhar/gatinhar/rastejar/rastejar-se/serpear/vadiar/vagabundear/vaguear/boiar/pisar/ascender/escorregar/nadar/errar/perambular/vagar/deslizar/voar/apressar/acompanhar/atravessar/caminhar/dirigir/correr/seguir/ir/andar/subir/passar/apressar-se/despachar-se/esquiar/cavalgar/progredir/avançar/perambular/perseguir/vagar/acelerar/rodar/voar/apressar/descer/montar/prosseguir/baixar/circular/espalhar/vir/continuar/seguir/ir/andar/passar/cair
victimizar	iludir/lograr/calotear/defraudar/trapacear/enganar
vir	acercar/avizinhar/chegar/acostar/cumprimentar
virar	descontrair/perecer/falecer/levantar-se/despertar/expirar/relaxar/decair/piorar/acordar/morrer/congelar/acalmar-se/carburar/ebulir/nascer/azedar/combustir/conflagrar/defletir/engordar/emagrecer/relaxar/acertar/assentar/encarar/esvaziar/fechar/rodar/tornar/curvar/estragar/ferver/retificar/acender/corrigir/dobrar/abrir/derrubar/estar/girar/melhorar/encher/queimar/ficar
virar-se	defletir/encarar/curvar/dobrar/derrubar/girar/virar
vitimar	iludir/lograr/calotear/defraudar/trapacear/enganar
vivenciar	aproveitar/ter
viver	alojar/morar
zangar	abespinhar/encolerizar/exasperar/irar/enfurecer
zelar	paparicar/superproteger
zombar	mangar/pagodear/zoar/rir/ridicularizar/sacanear
zumbir	enxamear/formigar/pulular
