abandonar	perder
cogitar	centrar/ruminar/concentrar/associar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/refletir/balizar/raciocinar/avaliar/julgar
coibir	refrear/limitar/controlar
coletar	catar/colher/apanhar/respigar/colher
colidir	chocar/bater
coligir	catar/colher/apanhar/respigar/colher
colocar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/estacionar/posicionar/instalar/posar/sentar-se/assentar/sentar/situar/acumular/sinalizar/erguer/experimentar/pôr/levantar
colorir	enrubescer/rosar/ruborizar/corar/avermelhar/empalidecer/clarear
combinar	assemelhar-se/assemelhar/balancear/equilibrar/compensar/parecer/convir/adaptar-se/adequar-se/harmonizar/compatibilizar/corresponder/concordar/satisfazer
comer	papar/mordiscar
começar	iniciar
comissionar	consignar
comover	atemorizar/amedrontar/assustar/disturbar/aterrorizar/emocionar/intimidar/perturbar/inspirar/intoxicar/exaltar/elevar/convidar/tentar/animar/excitar/provocar
compelir	coagir/obrigar/forçar
competir	jogar
completar	carregar
comportar-se	reinvindicar/asseverar/esfriar/reagir/conquistar/endurecer/adquirir/fazer
comprar	beneficiar-se/re-adquirir/beneficiar/reconquistar/reganhar/auferir/lucrar/recuperar/ganhar/obter/adquirir/encontrar/atingir/compartir/fretar/reganhar/topar/partilhar/alugar/ganhar/adquirir/receber/encontrar/aceitar/atingir/achar/dividir
compreender	solucionar/ler/resolver/escanear/interpretar/traduzir/ler/entender
comprender	solucionar/resolver/interpretar/traduzir/compreender/entender
computar	cobrar/subtrair/aproximar/adivinhar/deduzir/chutar/estimar/avaliar/julgar/dividir
comunicar	indagar/redigir/perguntar/saudar/escrever/falar/dizer/gesticular/telecomunicar/dialogar/proferir/dirigir-se/compartilhar/exprimir/verbalizar/conversar/informar/transmitir/falar/dizer
conceber	descobrir/achar
conceder	lotear/desculpar/perdoar/atribuir
conceitualizar	descobrir/achar
concentrar	focar
concitar	magoar/ofender/provocar/encolerizar/irar/zangar/comover/interessar/desconcertar/enraivecer/emocionar/estimular/atrair/perturbar/confundir/excitar/superar/pedir
concluir	encerrar/finalizar/acabar/terminar/abortar/suspender/finalizar/resolver/interromper/decidir/acabar/terminar/aceitar/parar
concordar	assemelhar-se/assemelhar/firmar/conciliar/reconciliar/consentir/permitir/parecer/deixar/convir/adaptar-se/adequar-se/harmonizar/providenciar/compatibilizar/arranjar/corresponder/conceder/satisfazer
concorrer	jogar
conduzir	encabeçar/liderar/comandar/reinvindicar/asseverar/dar/fazer
conectar	mencionar/referir/amarrar/atar
confeccionar	cozinhar/moldar/forjar/modelar/formar/preparar
conferir	espionar/mirar/observar/guardar/olhar/ver
confessar	conceder/admitir
confiar	consignar
confidenciar	consignar
confinar	amarrar/atar
confirmar	validar/demonstrar
confromar-se	obedecer
confundir	angustiar/doer/machucar
