desperdiçar	despender/gastar/despender/gastar/esgotar
despertar	tornar/virar/mudar
despir	sacar/tirar
despojar	sacar/tirar
desprezar	detestar/odiar
destituir	demitir/remover
destratar	tratar
destroçar	arrombar/arrebentar
destruir	esfacelar/decair/desmoronar
desvirar	modificar/alterar/mudar/apresentar/representar
deteriorar	decair/piorar/esfacelar/avariar/danificar/decair/desmoronar
detestar	antipatizar/desgostar
deturpar	tapear/trapacear
devolver	transportar/viajar/caminhar/trazer/levar/tirar/ir/andar
devorar	comer
devotar	empregar/utilizar/usar
diagramar	desenhar
dificultar	desavantajar/desfavorecer/prejudicar
digressar	desviar
dilapidar	despender/gastar
diluir	enfraquecer
diminuir	modificar/alterar/reduzir/mudar
direcionar	advertir
dirigir	viajar/caminhar/ir/andar/causar/criar/provocar/fazer
discriminar	distinguir/diferenciar/separar
discutir	conversar/falar
disfarçar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
disparar	voar/atirar
dispensar	entregar/dar
dispor	botar/pôr/colocar/carregar
disputar	argüir/impugnar/contestar/debater/discutir/arguir/correr
dissuadir	assessorar/aconselhar/opinar/avisar
distorcer	desmentir/apresentar/representar
distribuir	regalar/oferecer/entregar/dar
disturbar	intrometer/intrometer-se/comover/afetar/impressionar/parecer
ditar	proclamar
divagar	informar/contar
divertir	alentar/socializar/alegrar/animar
dividir	empregar/utilizar/usar/mudar
divorciar	partir/separar
divulgar	enaltecer/elogiar/louvar/informar/contar
dizer	contar/falar/proferir/comunicar/exprimir/exprimir/verbalizar/expressar/expressar/mostrar/transmitir
doar	regalar/oferecer/entregar/dar/entregar/dar
dobrar	deslocar/mover/mexer/vergar/curvar/torcer
documentar	registar/registrar
doer	aperceber/aperceber-se/perceber/entender/parecer
domar	adequar/adaptar/ajustar
domesticar	adequar/adaptar/ajustar
dominar	saber/influir/influenciar
dopar	medicar
dormitar	capotar/sonecar/dormir/cochilar
drenar	evaziar/esvaziar
drogar	medicar
duplicar	multiplicar
durar	medir
duvidar	descrer/desacreditar
educar	leccionar/lecionar/ensinar/instruir
efectuar	conseguir/suceder/atingir
efetuar	conseguir/suceder/atingir
elaborar	explicar
eleger	seleccionar/seleccionar/selecionar/selecionar/escolher/escolher
elevar	deslocar/mover
elicitar	causar/criar/provocar/fazer
eliminar	destruir
elocubrar	explicar
embalar	tampar/cobrir/deslocar/mover
embaralhar	manejar/manusear/manipular
embarcar	entrar/proceder
embevecer	agradar/satisfazer
embobinar	bolear/enrolar
emboscar	iludir/lograr/enganar
embrulhar	tampar/cobrir
emendar	aperfeiçoar/melhorar
emocionar	comover/afetar/impressionar/parecer
empatar	equiparar/igualar
empenhar	consignar
empilhar	dispor/arranjar
empinar	endireitar
emprestar	entregar/dar
emprisonar	deter/confinar/prender
empurrar	forçar/deslocar/mover
encabeçar	dirigir/conduzir
encantar	atrair/agradar/gostar/satisfazer
encarar	enfrentar/defrontar/confrontar/disputar/mirar/observar/olhar/jogar/ver
encarcerar	deter/confinar/prender
encerrar	finalizar/concluir/terminar
encharcar	completar/encher
encher	modificar/alterar/completar/mudar/dilatar-se/expandir-se/estar
encobrir	omitir/omitir/tampar/tampar/tapar/tapar/acobertar/acobertar/ocultar/ocultar/esconder/esconder
encolher	decrescer/desabar/minguar/diminuir
encontrar	comprar/obter/adquirir/receber/interagir/reganhar/achar
encorajar	induzir
encostar	estar
encurtar	reduzir/diminuir
endereçar	encetar/abordar/iniciar
endireitar	modificar/alterar/mudar
endossar	apoiar/suportar/ajudar
enfatizar	exprimir/expressar/mostrar
enfraquecer	desacatar/desobedecer
engaiolar	deter/confinar/prender
enganar	desinformar/informar
enganar-se	equivocar/errar/confundir
enganchar	fixar/prender
engatinhar	viajar/caminhar/ir/andar
engendrar	causar/criar/provocar/fazer
engenhar	planejar
engodar	concitar/desafiar/estimular/incitar/provocar
engolir	aturar/tolerar/aguentar/suportar/ingerir/consumir/tomar
engravidar	tornar/virar/mudar
engulir	crer/acreditar
enrolar	bolear/estar/ser/apresentar/representar
enroscar	deslocar/mover/mexer
enrubescer	descolorir/colorir
ensinar	informar
entender	conhecer/saber
enterrar	situar/pôr
entornar	manar/fluir/correr/deslocar/mover
entregar	regalar/expulsar/oferecer/dar/transferir/transmitir/trazer/pegar/dar
entreter	socializar
entumescer	expandir
enumerar	determinar/achar
enunciar	contar/falar/dizer
envelhecer	progredir/desenvolver
envenenar	narcotizar/dopar/drogar
enviar	transferir/transmitir/trazer
enxergar	aperceber/aperceber-se/perceber/entender
enxugar	esfregar
equilibrar	combinar
equipar	prover/abastecer/fornecer/suprir
erguer	deslocar/mover
erigir	edificar/construir
errar	viajar/caminhar/ir/andar
esbanjar	despender/gastar
esboroar	mudar
esboçar	imaginar
escandalizar	indignar/nausear/repugnar/repulsar/revoltar
escapar	evadir-se/fugir/sair/partir/ir
escapulir	evadir-se/fugir/sair/escapar/partir/ir
escarnear	ironizar/menosprezar/zombar
escavar	retirar/remover/tirar
esclarecer	informar
escolher	seleccionar/seleccionar/seleccionar/seleccionar/selecionar/selecionar/selecionar/selecionar/resolver/decidir/balizar/delegar/avaliar/julgar
esconder	omitir/omitir/tampar/tampar/tapar/tapar/acobertar/acobertar/ocultar/ocultar/encobrir/encobrir
escorraçar	expulsar
escorregar	deslizar/viajar/viajar/caminhar/caminhar/ir/ir/andar/andar
escovar	enxugar/esfregar/esfregar/limpar
escrever	comunicar/verbalizar/causar/criar/transmitir/provocar/fazer
escusar	desculpar/perdoar
escutar	aperceber/aperceber/aperceber-se/aperceber-se/perceber/perceber/entender/entender
esfaquear	lesionar/lesar/ferir/machucar
esfarelar	mudar
esfregar	irritar/correr/passar
esmagar	prensar/pressionar/apertar
esmurrar	golpear/bater
esnobar	rejeitar
espalhar	desaguar/derramar
especular	antecipar/raciocinar/cogitar/refletir/pensar/investir
espernear	deslocar/mover/mexer
espetar	penetrar
espiar	mirar/observar/olhar/ver
espirar	pausar/interromper/parar
espremer	prensar/pressionar/apertar/agarrar/segurar
estabelecer	construir/desenvolver/melhorar
estacionar	manobrar/canalizar/guiar/dirigir
estalar	deslocar/mover/mexer/ressoar/soar/fazer
estapear	golpear/acertar/bater
estarrecer	sobressaltar/assombrar/surpreender
estender	modificar/alterar/mudar/ampliar/progredir/aumentar
estender-se	aprumar/estar
estereotipar	classificar
esticar	deslocar/mover/mexer
estilhaçar	arrombar/arrebentar
estimar	prezar/respeitar/venerar/balizar/avaliar/julgar
estimular	causar/criar/provocar/fazer
estofar	completar/encher
estourar	arrebentar/explodir/desmoronar/dividir/separar
estragar	avariar/danificar/putrefazer
estrangular	comprimir/contrair
estrear	passar
estremecer	sacudir/tremer/agitar
estressar	afectar/afetar
estudar	aprender/adquirir
estufar	completar/encher
estuprar	agredir/assaltar/atacar
esvaziar	evaziar
evidenciar	informar
evocar	exprimir/expressar/mostrar
exagerar	desinformar/enganar
examinar	analizar
exceder	ultrapassar/derrotar/vencer/superar/bater/sobressair
excetuar	eliminar/extinguir
exclamar	declarar
excluir	eliminar/extinguir
executar	penalizar/punir/castigar/matar
exemplificar	elocubrar/elaborar/expandir/expor
exibir	possuir/apresentar/apresentar/mostrar/mostrar/ter
exigir	solicitar/requisitar/demandar/requerer/pedir/impetrar/intimar/mandar/ordenar
exilar	expulsar
exortar	assessorar/aconselhar/opinar/alentar/avisar/encorajar
expandir	explicar/crescer/aumentar
experimentar	ingerir/analizar/pesquisar/consumir/tomar
expirar	tornar/virar/mudar
explicar	esclarecer/informar/apoiar/defender/suportar
explodir	estourar/arrebentar/reagir/desmoronar/responder/dividir/separar
explorar	empregar/empregar/utilizar/utilizar/usar/usar
expor	explicar/mangar/pagodear/zoar/rir/ridicularizar/sacanear/zombar/apresentar/mostrar
exportar	comerciar
expressar	exprimir/mostrar
expulsar	deslocar/mover
extinguir	destruir
extorquir	roubar
extraditar	expulsar
extrair	retirar/remover/tirar
fabricar	inventar/pensar
falar	encetar/abordar/proferir/comunicar/exprimir/verbalizar/expressar/iniciar/transmitir
falecer	tornar/virar/mudar
falsear	tapear/trapacear
falsificar	tapear/recriar/trapacear
faltar	negligenciar/falhar
fanfarrear	exagerar/aumentar
fascinar	atrair
favorecer	avançar/promover
fazer	desempenhar/produzir/apresentar/construir/criar/amanhar/recriar/cultivar/plantar/causar/criar/provocar
fender	mudar
ferir	lesionar/lesar/machucar/aleijar/doer/machucar
ferrar	doer
ferver	alterar/mudar
fiar	confeccionar/fabricar/construir
ficar	estar/estar/ser/ser
filmar	causar/registar/criar/registrar/provocar/fazer
finalizar	encerrar/concluir/terminar
financiar	manter
fingir	desmentir
