abalroar	assentar
deslizar	resvalar/derrapar/escorregar/patinar/surfar/derrapar/planar/serpentear/patinar
deslocar	arredar/contorcer/enroscar/espernear/torcer-se/alçar/botar/manar/virar-se/arremessar/dançar/estalar/fluir/largar/flexionar/entornar/pulsar/tornar-se/tropeçar/verter/alongar/balançar/derramar/elevar/impulsionar/expulsar/puxar/embalar/erguer/esticar/mexer/transportar/dobrar/empurrar/forçar/girar/pular/pôr/sacudir/saltar/soltar/tremer/sair/transmitir/correr/levantar/levar/partir/agitar/colocar/deixar/virar/carregar/tirar/separar/bater/afugentar/afunilar/arriar/bolear/desferir/deslocar-se/desvanecer/engatar/escorrer/exteriorizar/jogar-se/lateralizar/movimentar/mutuar/pinotear/ribombar/surpreender-se/trasladar/unir-se/vassourar/abalar/abalroar/arrebanhar/bailar/brandir/chafurdar/desenraizar/expedir/folgar/oscilar/propulsar/propulsionar/rechaçar/reciprocar/reposicionar/revolver/trovoar/arrancar/dançar/dirigir-se/extirpar/fluir/gravitar/ondular/revirar/riscar/transladar/acenar/afastar/desenrolar/erradicar/flutuar/mobilizar/recuar/submergir/vibrar/arrastar/clicar/engajar/entornar/pressionar/pulsar/transferir/tropeçar/varrer/verter/canalizar/derramar/deslizar/despachar/encostar/impulsionar/rodar/situar/tornar/voar/assumir/montar/rebaixar/rolar/afundar/embarcar/escalar/acordar/baixar/embalar/mexer/transportar/circular/empurrar/perturbar/atravessar/forçar/girar/guiar/pular/sacudir/saltar/tremer/desaparecer/enrolar/transmitir/enviar/trazer/correr/levantar/levar/partir/sacar/agitar/virar/conduzir/lançar/mudar/começar/dividir/tocar/tirar/separar/subir/bater
desmentir	pretextar/aparentar/distorcer/simular/fingir/sentimentalizar
desmoronar	arrombar/estourar/arrebentar/explodir/quebrar/fragmentar/esmagar/puncturar/furar
desnudar	desfolhar
desordenar	misturar/abagunçar/disarranjar/desorganizar/bagunçar
despachar	aviar/justiçar/reenviar/repassar/expedir/postar/remeter/executar/enviar
despachar-se	correr/borboletear/esvoaçar
despender	delapidar/dilapidar/esbanjar/desperdiçar/amealhar/malbaratar/abusar/desvirtuar/economizar/esbanjar/torrar/desperdiçar/gastar/dispor/poupar/consumir/investir/poder/ocupar/levar
desperdiçar	indulgir/dissipar/esbanjar
desplumar	descamar/descamar-se
destinar	arquitetar/agendar/direcionar/planejar
destroçar	assolar/depredar/vandalizar/devastar/subverter/arruinar/violar/explodir/devorar/queimar/destruir/quebrar/pegar
destruir	assolar/depredar/vandalizar/devastar/subverter/arruinar/violar/explodir/devorar/queimar/quebrar/pegar
desvalorizar	desumanizar/rebaixar/reduzir
desvanecer	tanger/atemorizar/espantar/banir/intimidar
desvirtuar	abastardar/sensualizar/envenenar
deter	agrilhoar/acorrentar/algemar/amarrar/atar
deteriorar	enlanguescer/fatigar/apodrecer/desfigurar/macular/manchar
determinar	enumerar/situar/localizar/contar/achar/aprazar/aquilatar/filiar/redeterminar/reformatar/valorar/cotar/formatar/refratar/sequenciar/inicializar/valorizar/datar/cobrar/identificar/retificar/avaliar/reconhecer/iniciar
dever	hipotecar
devotar	rededicar/consagrar
dialogar	argüir/boquejar/monologar/papear/pontificar/prosear/dogmatizar/entrevistar/orar/debater/flertar/fofocar/paquerar/professar/discursar/discutir/arguir/confabular/conversar/questionar/prosseguir/continuar
diferenciar	discriminar/aferir/contradistinguir/desassociar/caracterizar/caraterizar/contrastar/demarcar/individualizar/discriminar/dissociar/distinguir/rotular/estratificar/saber/separar
digladiar	lutar
dilapidar	indulgir/dissipar/esbanjar/desperdiçar
diminuir	encurtar/resumir/condensar/abreviar/reduzir/circunscrever/deprivar/desescalonar/despovoar/desprover/embotar/miniaturizar/redimensionar/abaixar/desmerecer/mitigar/subtrair/encurtar/deprimir/encolher/confinar/minimizar/contrair/ferver/minguar/suprimir/enfraquecer/limitar/restringir/reduzir
direcionar	dirigir-se
dirigir	encabeçar/estacionar/liderar/comandar/acuar/encaminhar/encurralar/transviar/pilotar/dirigir-se/gerir/navegar/operar/emboscar/canalizar/auxiliar/sinalizar/ajudar/guiar/conduzir/dar/fazer
dirigir-se	cumprimentar/endereçar/questionar/perguntar
disconcertar	distrair/irritar/confundir/incomodar
discutir	deliberar/debater/considerar/agenciar/assessorar/conferenciar/encetar/maldizer/praguejar/abordar/aconselhar/blasfemar/opinar/alinhavar/liderar/confabular/consultar/negociar/avisar/conferir/moderar/iniciar
disfarçar	camuflar/dissimular/mascarar/esconder
dispensar	injectar/digitalizar/injetar/dar
dispersar	aerolizar/saraivar
dispor	agavelar/coordenar/empilhar/acumular/organizar/drapejar/encadenar/escalonar/rearranjar/serializar/seriar/ratear/regularizar/reordenar/drapear/encadear/enfileirar/alisar/emparelhar/acertar/estratificar/liquidar/distribuir/adornar/compensar/decorar/arrumar/ordenar/pagar/colocar
disputar	pugnar/lutar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/assaltar/batalhar/brigar/defender/lutar/atacar/resistir/conduzir
dispõe	constar/gabar-se/estrelar/protagonizar/involver/possuir/exalar/portar/implicar/ler/ter/usar/dizer/carregar
disseminar	desaguar/despregar/metastizar/redistribuir/generalizar/derramar/distribuir/espalhar
dissolver	derreter/fundir
distinguir	discriminar/aferir/contradistinguir/desassociar/caracterizar/caraterizar/contrastar/demarcar/individualizar/discriminar/dissociar/rotular/estratificar/diferenciar/saber/separar
distribuir	desaguar/despregar/metastizar/redistribuir/generalizar/derramar/espalhar
disturbar	transtornar/preocupar/perturbar/afligir/angustiar/chocar/excitar/agitar
divertir	hospedar/receber/entreter
dividir	romper/arrombar/estourar/arrebentar/explodir/quebrar/acantonar/apartar/apartar-se/balcanizar/compartimentar/comunalizar/desanexar/desarticular/descolar/desgrudar/desmembrar/desunir/esfarrapar/exorcizar/fragmentar/meiar/parcelar/particionar/secionar/sectionalizar/segmentar/separar-se/trinchar/zonar/zonear/cindir/dissipar/esquartejar/formatar/lascar/lotear/subdividir/agregar/desalojar/desconectar/dispersar/esmagar/inicializar/partilhar/polarizar/rasgar/desfiar/despejar/puncturar/rachar/isolar/furar/combinar/espalhar/remover/terminar/reduzir/quebrar/separar/cortar
divisar	detectar/observar/descobrir/achar/ver
divulgar	confidenciar/tagarelar/trair/revelar/mostrar/falar
dizer	cochichar/remarcar/balbuciar/enunciar/reparar/retrucar/rosnar/sussurrar/notar/resmungar/articular/comentar/mencionar/murmurar/replicar/vocalizar/berrar/cantar/responder/gritar/abrir-se/cecear/ciciar/labelizar/lamuriar/palatalizar/prefaciar/presentar/silabificar/subvocalizar/sumariar/trilar/acentuar/balbuciar/gaguejar/ladrar/nasalizar/sibilar/sumarizar/acrescer/bradar/exclamar/generalizar/proclamar/pronunciar/vociferar/choramingar/discutir/ralar/resumir/clicar/modular/murmurar/preceder/tagarelar/verbalizar/conversar/vocalizar/berrar/acrescentar/cantar/reclamar/esticar/introduzir/adicionar/explicar/revelar/anunciar/apresentar/enrolar/declarar/falar/representar/começar/dar
dobrar	acovardar/acovardar-se/debruçar/agachar/curvar/inclinar/arquear/encurvar/curvar/amassar
doer	lesionar/lesar/ferir/asfixiar/sufocar/machucar/ferroar/agoniar/excruciar/padecer/torturar/atormentar/picar/furar/machucar/pagar/ter/incomodar
dormir	dormitar/cochilar/capotar/sonecar/estivar/hibernar/dormitar/cochilar
dormitar	cochilar/estivar/hibernar
durar	estar/resistir/usar
ecoar	consoar/matraquear/papagaiar/papaguear/reproduzir/recitar/repetir
edificar	erigir/construir/reerguer/personalizar/reconstruir/canalizar
editar	reeditar
educar	desfraldar/retreinar/sofisticar/instruir/treinar
efectuar	culminar/obter/chegar/atingir/começar
efetuar	consumar/oficiar/desempenhar/cumprir/precipitar/culminar/induzir/executar/obter/realizar/chegar/servir/atingir/começar/fazer
ejetar	sangrar/ejacular/exorcizar/expectorar/ovular/peidar/supurar/vomitar/abortar/desalojar/despejar/expelir/cuspir/remover
elaborar	exemplificar/ilustrar/detalhar/particularizar/pormenorizar/especificar/explicar
eleger	reeleger
elevar	bombear/enebriar/hastear/içar/alçar/levitar/exultar/exaltar/inchar/erguer/excitar/levantar/aumentar
elocubrar	exemplificar/ilustrar/detalhar/particularizar/pormenorizar/especificar/explicar
elogiar	preconizar/publicitar/recomendar/divulgar/promover/anunciar/comendar/eulogizar/parabenizar/adular/congratular/aclamar/aplaudir/louvar/exaltar/glorificar/bajular/saudar/aprovar
emascular	capar
embalar	amortalhar/embrulhar
embarcar	aviar/reenviar/repassar/despachar/enviar
embelezar	lustrar/polir/cuidar-se/maquiar
embonecar	lustrar/polir/cuidar-se/maquiar
embrulhar	amortalhar/embalar
emendar	cerzir/rechear/remendar/consertar/renovar
emergir	surgir
emitir	carpir/lamentar-se/latir/urrar/bramir/gemir/ladrar/rugir/gemer/uivar/berrar/gritar/arfar/arrulhar/balir/chilrear/corvejar/cricrilar/gorgolejar/grunhir/miar/relinchar/rouquejar/cacarejar/chiar/coaxar/crocitar/gargarejar/gorjear/grasnir/mugir/ofegar/pipilar/rosnar/trompetear/volear/zurrar/assobiar/bufar/ecoar/estalar/gemer/piar/pigarrear/suspirar/trinar/uivar/vociferar/cuspir/grasnar/chamar/cantar/repetir/gritar
emocionar	transtornar/atemorizar/amedrontar/assustar/aterrorizar/preocupar/intimidar/perturbar/eletrizar/afligir/inspirar/intoxicar/titilar/angustiar/vibrar/chocar/exaltar/elevar/convidar/tentar/animar/excitar/alimentar/provocar/agitar
empacotar	conteinerizar/estivar/ensacar/carregar
empetecar	lustrar/polir/cuidar-se/maquiar
empreender	inovar/activar/constituir/fundar/desencadear/confabular/arranjar/estabelecer/organizar/realizar
empregar	recrutar
emprestar	instilar/alugar
empunhar	bombear
empurrar	derrubar/cotovelar/protrudir/apunhalar/cutucar/enfiar/esfaquear/propulsionar/acotovelar/socar/repelir/impulsionar/forçar/guiar/sacudir/dirigir/conduzir/bater
enaltecer	preconizar/publicitar/recomendar/divulgar/promover/anunciar/comendar/eulogizar/parabenizar/adular/congratular/aclamar/aplaudir/louvar/exaltar/glorificar/bajular/saudar/aprovar
encabeçar	capitanear
encadernar	reencadernar
encaixotar	conteinerizar/estivar/ensacar/empacotar/carregar
encerrar	finalizar/acabar/terminar/arrematar/clausurar/abortar/cumprir/efetuar/culminar/extinguir/matar/suspender/finalizar/resolver/interromper/decidir/executar/concluir/realizar/acabar/terminar/aceitar/parar/atingir
encetar	endereçar/lidar/tratar/falar/cobrir
encher	alagar/estofar/encharcar/estufar/inundar/desbordar/disorganizar/electrizar/marejar/reencher/abarrotar/electrificar/eletrizar/impregnar/inteirar/lacrimejar/transbordar/amontoar/eletrificar/lubrificar/entupir/estufar/forrar/lotar/povoar/completar/popular/sobrecarregar/concluir/carregar
encobrir	disfarçar/mascarar/esconder/camuflar/dissimular/disfarçar/espreitar/mascarar/sepultar/soterrar/tapar/acobertar/enterrar/ocultar/esconder/cobrir
encolerizar	injuriar/ofender/insultar/irritar/abespinhar/agravar/combustir/exacerbar/exasperar/irar/enraivecer/importunar/enfurecer/irritar/incomodar
encolher	sincopar/atalhar/cercear/truncar/flexionar/recortar/abreviar
encontrar	descobrir/achar/acessar/celebrar/visitar/localizar/sentir/descobrir/achar/pegar
encorajar	conclamar/exortar/inspirar/incentivar/alimentar/empolgar/extroverter/alentar/contribuir/instigar/incentivar/promover/estimular/ajudar/alimentar/levar/provocar
encostar	rodear/contornar/atritar/aderir/abraçar/arranhar/colar/cobrir/tocar
encurtar	expurgar/sincopar/atalhar/cercear/truncar/recortar/condensar/abreviar
endereçar	discorrer/teologizar/discursar/discutir/falar
endurecer	engomar/rigidificar/enrijecer
energizar	reanimar/reavivar/renascer/envigorar/vivificar/reviver/animar
enfatizar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/clarificar/focar
enfraquecer	diluir/desenergizar/desvitalizar/emaciar/inutilizar/rarefazer/abalar/emascular/petrificar/castrar/comedir/debilitar/medir/suavizar/neutralizar/anular/moderar/temperar/acabar/destruir
engajar	recrutar/interessar/fascinar/envolver/esgotar/consumir/ligar
enganar	atraiçoar/mentir/exagerar/emboscar/trair/aumentar/burlar/embromar/ludibriar/prevaricar/tergiversar/mistificar/tapear/mentir/trapacear/trair/enrolar
engatar	ligar
engatinhar	formigar
engolir	devorar
engordar	arredondar
enlistar	recrutar
enquadrar	adicionar
enraivecer	injuriar/ofender/insultar/irritar/abespinhar/agravar/combustir/encolerizar/exacerbar/exasperar/irar/importunar/enfurecer/irritar/incomodar
enrijecer	engomar/rigidificar
enrolar	encrespar/frisar/permear
enrugar	atrofiar/atrofiar-se/ressecar/mumificar/amassar
ensaiar	verificar/provar/controlar
ensinar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
entender	enxergar/ouvir/saborear/doer/escutar/cheirar/ler/sentir/saber/olhar/realizar/compreender/ver/alucinar/avistar/delirar/desentender/divisar/escanear/intuir/literalizar/alegorizar/captar/espiritualizar/reinterpretar/digerir/mitificar/apalpar/sonhar/adivinhar/ler/extrair/acompanhar/perceber/sentir/apreciar/compreender/sacar/ver/pegar
entornar	gotejar/pingar/decantar/respingar/transvazar/verter/servir
entravar	ocluir/interferir/barrar/inibir/tapar/entupir/obstruir/trancar
entregar	legar/arrendar/emprestar/prestar/doar/alugar/prover/abastecer/dispensar/distribuir/fornecer/suprir/submeter/pagar/deixar/passar/dar/cartear/comissionar/consignar/desobrigar/gratificar/incumbir/provisionar/rifar/confidenciar/dotar/lembrar-se/lotear/render-se/submeter-se/confiar/depositar/encarregar/repagar/sucumbir/contribuir/financiar/livrar/alienar/atribuir/ceder/obrigar/prover/transferir/abastecer/lidar/fornecer/renunciar/retornar/vender/outorgar/submeter/aplicar/permitir/combinar/conceder/lembrar/soltar/desistir/pagar/transmitir/liberar/oferecer/servir/abandonar/deixar/passar/dar/manter
entreter	hospedar/receber/divertir
entumescer	afofar/empolar/intumescer/distender/inchar
enumerar	somar/adicionar/censear/recensear/recontar
enunciar	cecear/ciciar/labelizar/palatalizar/silabificar/subvocalizar/trilar/acentuar/nasalizar/clicar/vocalizar/cantar/esticar/enrolar
enviar	aviar/reenviar/repassar/rotear/expedir/postar/redirecionar/remeter/despachar/projetar/referir/registrar/jogar/lançar
enxergar	entrever/vislumbrar/observar/compreender/ver
enxugar	escovar/varrer/desumidificar/estorricar/ressecar/arejar/aerar/rolar
equilibrar	compensar/contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/compensar/corrigir
equipar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
equiparar	empatar/homogenizar
equivaler	corresponder/combinar/concordar/representar/equacionar
equivocar	enganar-se/tropeçar/confundir
erguer	bombear/hastear/içar/alçar/levitar/levantar/aumentar
errar	enganar-se/tropeçar/confundir
esbanjar	indulgir/dissipar/desperdiçar
escapar	foragir/desertar/escapulir/fugir/abandonar/desembaraçar-se/safar/embrenhar/esconder-se/evadir-se/evadir/sumir/debandar/escorregar/fugir/desaparecer/evitar
escapulir	safar/evadir-se/escorregar/fugir/escapar/evitar
escavar	valar/minerar
esclarecer	explicar/interpretar/comentar/naturalizar/explicar
escolar	sofisticar
escolher	eleger/peneirar/analisar/selecionar/votar/decidir/aventar/reeleger/coar/discar/esposar/posicionar/ungir/adoptar/peneirar/designar/selecionar/adotar/especificar/extrair/votar/determinar/nomear/propor
esconder	disfarçar/mascarar/encobrir/camuflar/dissimular/disfarçar/espreitar/mascarar/sepultar/soterrar/tapar/acobertar/enterrar/ocultar/encobrir/cobrir
escorregar	resvalar/derrapar/deslizar/patinar/surfar/derrapar/planar/serpentear/deslizar/patinar
escrever	subscrever/visar/assinar/imprimir/apostrofizar/digitar/estenografar/minutar/poetizar/rabiscar/transcrever/versar/anotar/datilografar/reescrever/sobrescrever/versejar/estilizar/rascunhar/dramatizar/esboçar/comentar/citar/registar/derrubar/registrar/cortar
escurecer	anuviar/nublar/enevoar
escutar	grampear/interceptar/atender/assistir/entender/pegar
esfregar	roçar/escovar/varrer/enxugar/limpar/friccionar/lambuzar/ralar/enxugar/manchar
esfriar	refrigerar/gelar
esganiçar	gritar
esgotar	desperdiçar/abusar/desvirtuar/ocupar/levar
esnobar	debochar/desabonar/desprestigiar/desacreditar
espalhar	borrifar/desaguar/despregar/metastizar/redistribuir/aerolizar/generalizar/saraivar/borrifar/derramar/distribuir
especular	aventurar/ponderar/adivinhar/questionar/supor/perguntar/pretender/introspectar/premeditar/retraçar/teologizar/reconstruir/cogitar/ponderar/supor/formular/refletir/julgar/pensar/dizer/considerar
esperar	adiar/suspeitar/agradar/aguardar/emboscar
espionar	custodiar/invigilar/vigiar
esposar	recasar/aderir/manter
esquentar	calentar/esturricar/preaquecer/reaquecer/superaquecer/tostar
estabelecer	nomear/adicionar
estabilizar-se	enraizar/acomodar
estar	merecer/estender-se/perplexar/importar/necessitar/rondar/valer/agradar/perambular/precisar/caber/depender/encostar/requerer/alcançar/pertencer/permanecer/ocupar/confundir/contar/superar/enrolar/parecer/encher/pesar/ficar/servir/abrilhantar/abundar/considerar-se/enfurecer-se/equilibrar-se/escancarar/espreguiçar-se/esticar-se/fulgir/fulgurar/meandrar/objetar/posicionar-se/quedar/sobrar/aparar/boiar/colocar-se/consistir/desencontrar/findar/inter-relacionar/lavar-se/padecer/participar/refulgir/restar/subjazer/tender/aparentar/capitanear/comparar/custar/defrontar/delimitar/discordar/estagnar/figurar/gravitar/ornamentar/performar/principiar/repousar/totalizar/afastar/bagunçar/cristalizar/embelezar/morar/nadar/paralisar/povoar/prometer/relacionar/respirar/sentar-se/substanciar/sujar/valer/afogar/descansar/doer/encarar/habitar/jazer/medir/resultar/traduzir/zumbir/caber/comprar/dever/entrar/especificar/tornar/viver/grudar/montar/vender/adornar/aparecer/decorar/empacotar/pertencer/embalar/estabelecer/finalizar/permanecer/responder/adicionar/explicar/lavar/provar/sofrer/brilhar/ser/contar/reconhecer/conter/iniciar/parecer/vir/acabar/estender/chegar/continuar/ter/terminar/aceitar/levar/seguir/ficar/representar/cobrir/começar/ir/pegar/cair/manter/cortar
estender	abranger/atravessar/irradiar-se/esparramar/sobrepor/radiar/varrer/irradiar/esticar/espalhar/chegar/cobrir
esterilizar	vasectomizar/capar/emascular/castrar
estimar	enaltecer/reavaliar/elogiar/estandardizar/quantizar/padronizar/truncar/valorizar/louvar/menosprezar/subestimar/censurar/chutar/avaliar/corrigir/contar/considerar
estimular	atemorizar/amedrontar/assustar/aterrorizar/intimidar/reanimar/reavivar/renascer/eletrizar/envigorar/vivificar/inspirar/intoxicar/titilar/contribuir/instigar/vibrar/emocionar/exaltar/elevar/incentivar/promover/reviver/convidar/tentar/ajudar/animar/excitar/alimentar/levar/provocar
estorvar	ocluir/interferir/barrar/inibir/tapar/entupir/obstruir/trancar
estourar	explodir
estragar	desfigurar/macular/manchar
estraçalhar	assolar/depredar/vandalizar/devastar/subverter/arruinar/violar/explodir/devorar/queimar/destruir/quebrar/pegar
estreitar	atarrachar/rosquear/comprimir/contrair/tensionar/apertar
estremecer	tremelicar/tremular/tiritar/vibrar/tremer
estressar	alongar/esticar/estender
esvaziar	drenar/limpar/escoar/exaurir/escavar/evacuar/limpar
evadir-se	foragir/desertar/escapulir/fugir/escapar/abandonar/desembaraçar-se/embrenhar/esconder-se/evadir/sumir/debandar/fugir/desaparecer/escapar
evaporar	transpirar
evaziar	drenar/esvaziar/limpar/esvaziar/exaurir/escavar/evacuar/limpar
evidenciar	agourar/prefigurar/aduzir/alegar/augurar/prenunciar/pressagiar/profetizar/vaticinar/assinalar/manifestar/presumir/prognosticar/citar/demonstrar/predizer/certificar/sinalizar/prever/provar/indicar/dizer
evitar	ocluir/entravar/interferir/barrar/estorvar/inibir/tapar/tolher/entupir/obstruir/impedir/trancar/atrapalhar/excluir/defender/reter/segurar
evoluir	porvir/derivar/especializar/diferenciar
exacerbar	baratear/barganhar/inflamar/degradar/desvalorizar/rebaixar/irritar
exaltar	canonizar/alentar/rachar/encorajar
examinar	revistar/comparar/procurar/auditar/auditorar/auscultar/autopsiar/comprovar/escrutinar/escrutinizar/inspeccionar/analizar/anatomizar/diagnosticar/minuciosamente/pormenorizar/reexaminar/revistar/discernir/vistoriar/traçar/checar/pesquisar/rever/conferir/inspecionar/buscar/procurar/seguir/considerar/ver
exaurir-se	exaurir
excitar	atemorizar/amedrontar/assustar/aterrorizar/intimidar/reanimar/reavivar/renascer/eletrizar/envigorar/vivificar/inspirar/intoxicar/titilar/vibrar/emocionar/exaltar/elevar/reviver/seduzir/convidar/tentar/animar/alimentar/provocar
excluir	exorcizar/desalojar/despejar/remover
executar	enforcar/justiçar/consumar/declamar/ensaiar/estrelar/protagonizar/improvisar/interpretar/crucificar/desempenhar/exercitar/cumprir/praticar/recitar/reger/aparecer/atuar/realizar/queimar/conduzir/fazer
exercer	representar/rotacionar/shamanizar/actuar/rotar/oficiar/funcionar/atuar/servir
exercitar	treinar
exibir	empavonar/pavonear/brandir/ostentar/esclarecer/posar/abrir/mostrar/agitar
exigir	requerer/querer/desejar
existir	imperilar/perigar/primar/consistir/prevalecer/residir/coexistir/respirar/ameaçar/arriscar/habitar/obter/vir
exortar	impacientar/instar/predicar/advocar/advogar/urgir/arguir/pressionar/apressar/pregar
expandir	entumescer/exemplificar/inflar/ilustrar/inchar/detalhar/particularizar/deleitar/pormenorizar/reacender/especificar/reviver/inchar/explicar
expedir	aviar/reenviar/repassar/despachar/enviar
expelir	sangrar/ejacular/expectorar/ovular/peidar/supurar/vomitar/abortar/cuspir
experimentar	arrepender/arrepender-se/lamentar/degustar/enervar-se/irritar-se/orgulhar/orgulhar-se/regozijar/regozijar-se/vivenciar/alegrar-se/desencantar/experienciar/simpatizar/tender/congratular/entristecer/recalcar/enraivecer/entreter/radiar/recapturar/alegrar/arder/enfurecer/inclinar/sustentar/morrer/parir/sofrer/brilhar/guardar/irritar/ter/aceitar/considerar/manter
expirar	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/morrer/cair
explicar	interpretar/comentar/naturalizar
explodir	estourar
explorar	superexplorar/comercializar/maximizar/minerar/ordenhar/minar/aproveitar/manipular/utilizar/escavar/alimentar/usar/jogar
expor	exemplificar/ilustrar/detalhar/empavonar/particularizar/pavonear/brandir/ostentar/pormenorizar/posar/especificar/exibir/explicar/abrir/mostrar/agitar
expressar	evocar/xingar/acentuar/blasfemar/pontuar/enfatizar/articular/insultar/sugerir/formular/contar/falar/dizer/conotar/desabafar/desafogar/estranhar/maravilhar/maravilhar-se/bradar/desdenhar/exclamar/despejar/ameaçar/implicar/sorrir/berrar/desaprovar/aprovar/soltar/atirar/desejar/falar/gritar/dizer/representar/lançar
exprimir	evocar/xingar/acentuar/blasfemar/mensurar/pontuar/quantificar/enfatizar/articular/insultar/sugerir/formular/expressar/contar/falar/dizer/conotar/desabafar/desafogar/estranhar/maravilhar/maravilhar-se/bradar/desdenhar/exclamar/despejar/ameaçar/implicar/sorrir/berrar/desaprovar/expressar/aprovar/soltar/atirar/desejar/falar/gritar/dizer/representar/lançar
expulsar	extraditar/deportar/escorraçar/exilar/ostracizar/sangrar/banir/entregar/degredar/desterrar/ejacular/expectorar/ovular/deportar/ejetar/escorraçar/exilar/expatriar/peidar/supurar/vomitar/abortar/expelir/banir/cuspir/excluir/suspender/dividir/separar
extender	temporizar
fabricar	tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/forjar/modelar/formar/preparar/crochetar/cunhar/mitologizar/cozinhar/mitificar/confabular/formular/acender/amarrar/preparar/fazer
falar	cochichar/remarcar/balbuciar/enunciar/reparar/retrucar/rosnar/sussurrar/notar/resmungar/articular/discutir/comentar/mencionar/murmurar/replicar/vocalizar/berrar/cantar/pregar/responder/gritar/dizer/abrir-se/cecear/ciciar/discorrer/labelizar/lamuriar/maldizer/monologar/palatalizar/pontificar/praguejar/prefaciar/presentar/silabificar/subvocalizar/sumariar/trilar/acentuar/balbuciar/blasfemar/dialogar/dogmatizar/gaguejar/ladrar/nasalizar/orar/sibilar/sumarizar/teologizar/acrescer/bradar/exclamar/flertar/fofocar/generalizar/paquerar/proclamar/professar/pronunciar/vociferar/choramingar/discursar/discutir/ralar/resumir/clicar/modular/murmurar/preceder/tagarelar/verbalizar/conversar/vocalizar/berrar/prosseguir/acrescentar/cantar/reclamar/esticar/introduzir/adicionar/explicar/revelar/anunciar/apresentar/enrolar/declarar/continuar/representar/começar/dar
falecer	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/morrer/cair
faltar	exceptuar/carecer/precisar/excluir
fazer	ticar/actuar/atrever/atrever-se/concitar/elicitar/engendrar/filmar/ousar/participar/pincelar/premiar/virar-se/voluntariar/estalar/recompensar/repagar/compartilhar/pintar/procriar/recriar/clicar/aguentar/copiar/gerar/lidar/sobreviver/tentar/atuar/compor/formar/escrever/estimular/incitar/soar/organizar/procurar/dirigir/oferecer/provocar/representar/tocar/acercar-se/aportar/batucar/borburar/chapinar/co-atuar/comportar/desovar/dinamitar/efectivar/estreiar/estrondar/farfalhar/hostilizar/instaurar/interagir/motivar/ocasionar/perpetrar/pioneirar/proceder/tique-taque/usinar/zinir/afectar/antagonizar/assoviar/atrever/atrever-se/buzinar/chocalhar/coadjuvar/cometer/coreografar/costumar/declamar/edificar/efectuar/efetivar/empreender/ensaiar/estrelar/facilitar/fender/folgar/galantear/instituir/namorar/ousar/parodiar/propulsar/protagonizar/ratear/reciprocar/reencenar/reiterar/ronronar/sibilar/superproduzir/sussurrar/agredir/alinhavar/alternar/antecipar/antever/apitar/assobiar/atalhar/azarar/borbulhar/comportar-se/concretizar/condescender/confeccionar/disturbar/ecoar/estilizar/evadir/flertar/imaginar/impelir/improvisar/influenciar/interpretar/manobrar/manufaturar/oficiar/performar/retratar/riscar/zunir/agir/arquitetar/associar/conceber/debandar/derivar/desempenhar/destilar/exercitar/fabricar/moldar/originar/procriar/puncturar/reagir/recortar/recriar/reproduzir/substanciar/aguardar/desenhar/efetuar/emocionar/engajar/envolver/personificar/praticar/recitar/ressoar/reverberar/verbalizar/zumbir/acelerar/afetar/gerar/impulsionar/incentivar/induzir/lidar/reger/tornar/apressar/descer/extrair/furtar/montar/prosseguir/surpreender/aparecer/atuar/causar/compor/determinar/fingir/prever/produzir/regenerar/repetir/brincar/estabelecer/estimular/incitar/permanecer/preparar/responder/arrumar/explodir/furar/interromper/lutar/perturbar/reter/disparar/executar/forçar/ser/soar/construir/realizar/satisfazer/criar/esperar/iniciar/roubar/acabar/atacar/resistir/trazer/continuar/correr/jogar/seguir/provocar/representar/reunir/deixar/conduzir/começar/tocar/dar/manter/cortar/bater
fechar	vedar/selar/bater/tirar
fecundar	polinar/polinizar/emprenhar/engravidar/estratificar
feder	tresandar
fender	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
ferir	aferroar/lesionar/apunhalar/esfaquear/lesar/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
ferroar	formigar
fertilizar	polinar/polinizar/emprenhar/engravidar/estratificar
ficar	caber/tornar/conservar/aparecer/estabelecer/ajustar/permitir/estar/admitir/pegar
finalizar	encerrar/acabar/terminar/arrematar/clausurar/aposentar-se/retirar-se/abortar/cumprir/efetuar/culminar/extinguir/matar/suspender/resolver/interromper/decidir/executar/concluir/desistir/realizar/acabar/terminar/aceitar/parar/abandonar/atingir
financiar	suportar/subsidiar/subvencionar/fiar/patrocinar/prover
fingir	brincar
