abalroar	assentar
alterar	alargar/ativar/confromar-se/ruir/transmutar/adaptar-se/adequar-se/comercializar/desvirar/impactar/modernizar/aperfeiçoar/colapsar/desabar/endireitar/inverter/acertar/completar/converter/afetar/modelar/ferver/investir/causar/formar/manchar/desmoronar/substituir/ajustar/corrigir/transformar/melhorar/encher/estender/trocar/reduzir/mudar/quebrar/diminuir/abrandar/acostumar-se/acromatizar/adequar/adiantar/agudizar/amalgamar/amaneirar/animizar/aprontar/arrendondar/arterializar/assear/automatar/avelhentar/averbar/avianizar/avolumar/bestializar/calar/centralizar/cevar/circularizar/colorizar/convencionalizar/demonizar/demulsificar/deodorizar/depravar/desabilitar/desactivar/desafinar/desamolar/desantificar/desarmonizar/descentralizar/desconcentrar/desenfatizar/desensitivizar/desenvolver-se/desinflar/desmitificar/desordenar/desoxidar/despersonalizar/despolarizar/dessalgar/dessalinizar/dessensibilizar/diabolizar/distilar/efeminar/endemoninhar/enfeiar/engrossar/erotizar/esfacelar/estabilizar-se/estatizar/eterealizar/evaziar/externar/femininizar/feminizar/fortalecer/gelatinar/glamorizar/habilitar/habituar/habituar-se/hidrogenar/humanizar/iluminar-se/imaterializar/inabilitar/incandescer/indispor/inrijecer/inseminar/intransitivizar/madurar/magnetizar/mutar/nazificar/objectificar/obnubilar/ocidentalizar/oportunizar/orientalizar/ornar/paganizar/perverter/politizar/radicalizar/rarificar/regredir/restorar/salinar/sanear/satanizar/sexualizar/simetrizar/simplificar/tenderizar/tontear/transitivizar/transubstanciar/uniformizar/verbificar/vestir-se/vidrar/volatizar/acetilar/acostumar/activar/adaptar/afectar/afrancesar/afrouxar/agravar/alcalinizar/alegorizar/alhear/americanizar/ampliar/apaixonar-se/aprumar/arrumar-se/atear/automatizar/avariar/barbarizar/bolhar/civilizar/complexificar/complicar/comunizar/corromper/decimalizar/democratizar/desamarrar/desativar/descalcificar/desembaralhar/desestabilizar/desmagnetizar/desnaturalizar/desobstruir/desqualificar/digitalizar/dinamizar/dissonar/embaçar/empetecar/emprestar/emulsionar/energizar/engordar/equiparar/espessar/estabilizar/estranhar/eternizar/europeizar/exacerbar/experienciar/externalizar/fecundar/fertilizar/imortalizar/inativar/incapacitar/internacionalizar/islamizar/isomerizar/liberalizar/liquidificar/masculinizar/militarizar/mitologizar/nacionalizar/normalizar/objetivar/obscurecer/oficializar/ofuscar/opalescer/opalizar/ossificar/oxidar/personalizar/plastificar/preguear/privatizar/prostrar/queratinizar/redigir/reorientar/sanitizar/saponificar/saturar/sensibilizar/sensitivizar/suburbanizar/sutilizar/transfigurar/transmudar/ulcerar/vascularizar/viciar/vitalizar/vitrificar/vivificar/vulcanizar/alcoolizar/alumiar/amaciar/amadurecer/amansar/amenizar/arredondar/brutalizar/capacitar/cegar/chorar/coagular/comedir/concentrar/concretizar/conformar/constitucionalizar/descolorir/desintegrar/despertar/desvirtuar/digerir/diversificar/domar/domesticar/dopar/emagrecer/encerrar/enfeitar/envelhecer/escurecer/esfriar/esquematizar/estreitar/evaporar/gelatinizar/incorrer/industrializar/inverter/ionizar/largar/lubrificar/macular/mecanizar/mitificar/nivelar/ondular/ornamentar/padronizar/polarizar/possibilitar/pressurizar/purgar/ramificar/reassumir/recombinar/reconstruir/refrigerar/resfriar/restabelecer/restaurar/retardar/retomar/revolucionar/romantizar/santificar/secar/sedimentar/sentimentalizar/sintetizar/subverter/tensionar/territorializar/turvar/urbanizar/vulgarizar/amanhecer/amolar/assimilar/bagunçar/calcificar/calibrar/castigar/clarificar/coalhar/consertar/contaminar/contribuir/desacelerar/destilar/editar/embelezar/enlamear/enrijecer/especializar/fortificar/gelar/iluminar/invalidar/molhar/oxigenar/progredir/rachar/receder/refazer/reverter/sequestrar/socializar/solarizar/sujar/visualizar/aerar/alienar/amortecer/aviltar/condensar/converter/danificar/debilitar/decair/embaralhar/esquentar/estratificar/esvaziar/glorificar/intensificar/mover/naturalizar/orientar/putrefazer/recomeçar/refrescar/remodelar/suavizar/sublimar/tornar-se/traduzir/transferir/unificar/validar/acelerar/adotar/afetar/afiar/aquecer/atrasar/balançar/colorir/compatibilizar/consolidar/deformar/desvalorizar/disciplinar/elevar/enxugar/expandir/igualar/neutralizar/purificar/racionalizar/refinar/sincronizar/tornar/transpirar/apertar/apressar/assumir/clarear/endurecer/envenenar/falhar/ferver/irradiar/isolar/moderar/ocultar/piorar/reformar/reprimir/retificar/adornar/causar/compensar/decorar/enfraquecer/formar/manchar/marcar/produzir/regenerar/suspender/acordar/baixar/desmoronar/finalizar/ganhar/mexer/morrer/preparar/transportar/vestir/adicionar/ajustar/atrair/capturar/congelar/corrigir/experimentar/revelar/sofrer/temperar/transformar/animar/apagar/concordar/crescer/derrubar/sacudir/acontecer/concluir/confundir/desenvolver/esconder/excitar/obter/adquirir/enrolar/sair/acabar/encher/estender/receber/trazer/unir/misturar/ter/terminar/trocar/levar/partir/ficar/provocar/abandonar/colocar/deixar/limpar/reduzir/virar/carregar/conduzir/mudar/começar/dividir/quebrar/tocar/diminuir/separar/subir/passar/pegar/cair/aumentar/fazer
alçar	bombear/hastear/içar/levitar/erguer/levantar/aumentar
amadurecer	achar-se/encontrar-se
amalgamar	mesclar/agregar/combinar/misturar
amanhar	produzir/fazer
amar	acalentar/reverenciar/idolatrar/gostar/adorar/apreciar
amarrar	acorrentar/amordaçar/laçar/atar
amassar	provar
amedrontar	terrificar/horripilar/aterrorizar/consternar/horrorizar/assustar/intimidar/impressionar
amenizar	enrijar/actualizar/atualizar/confortar/modernizar/otimizar/sincopar/enrijecer/especializar/flexionar/amortecer/variar/qualificar/acalmar/endurecer/estragar/restringir/temperar/aliviar
