abagunçar	desordenar/bagunçar
continuar	viajar/caminhar/ir/andar/agir/atuar/estar/estar/estar/ser/ser/fazer
contorcer	deslocar/mover/mexer
contornar	encostar/tocar
contrafazer	recriar
contrair	decrescer/desabar/minguar/diminuir/estreitar/apertar/experimentar/ter
contrair-se	decrescer/desabar/minguar/diminuir
contribuir	modificar/alterar/pagar/mudar/entregar/dar
controlar	coibir/entravar/serenar/manejar/deter/manusear/manipular/moderar/conter
convalescer	melhorar
convencer	persuadir/influir/influenciar
conversar	dialogar/dialogar/proferir/comunicar/verbalizar/transmitir/falar/falar/dizer
converter	modificar/alterar/substituir/mudar
convidar	solicitar/solicitar/requisitar/requisitar/requerer/requerer/pedir/pedir/interagir/comover/requisitar/emocionar/requerer/estimular/excitar/pedir
convir	corresponder/combinar/concordar
convocar	impetrar/intimar/mandar/ordenar
copiar	assemelhar-se/assemelhar/reproduzir/parecer/causar/criar/provocar/fazer
copular	acasalar/juntar/unir
corar	descolorir/colorir
correr	manar/manar/fluir/fluir/deslocar/mover/apressar/mexer/viajar/atravessar/caminhar/ir/andar/passar/apressar-se/despachar-se/agir/acelerar/apressar/atuar/passar/fazer
corresponder	combinar/concordar/equivaler/igualar
corrigir	modificar/alterar/mudar/inverter/reverter/tornar/virar
corromper	modificar/alterar/pagar/mudar
corrugar	dobrar
cortar	descolar/desgrudar/dividir/dividir/separar
cotovelar	propulsionar/empurrar
coxear	caminhar/ir/andar
cozinhar	confeccionar/fabricar/construir/mudar
coçar	irritar/cortar
crepitar	ressoar/soar
crer	acreditar/aceitar
crescer	acrescer/acrescentar/aumentar/progredir/desenvolver/subir
criar	produzir/construir/fazer/agir/atuar/causar/causar/provocar/provocar/fazer/fazer/fazer
criptografar	codificar
cronometrar	mensurar/quantificar
cruzar	reproduzir/dobrar/criar
cuidar	governar/reger/lidar/guiar
cuidar-se	embonecar/empetecar/embelezar
cultivar	lustrar/polir/refinar
cumprimentar	acostar/vir
cumprir	encerrar/finalizar/acabar/terminar/ocasionar/efetuar/efetuar/produzir/executar/realizar/satisfazer/provocar/atingir
curar	melhorar
curtir	celebrar
curvar	virar-se/virar-se/tornar-se/tornar-se/virar/virar/deformar
curvar-se	gesticular
custar	requisitar/requisitar/demandar/demandar/precisar/precisar/exigir/exigir/requerer/requerer/estar/ser
custear	pagar
cutucar	propulsionar/empurrar
danificar	modificar/alterar/mudar
dançar	deslocar/deslocar/mover/mover/mexer/mexer
dar	regalar/regalar/ceder/prover/abastecer/fornecer/suprir/oferecer/oferecer/entregar/entregar/entregar/passar/provisionar/prover/transferir/transferir/abastecer/informar/fornecer/causar/causar/contar/criar/dirigir/provocar/provocar/servir/entregar/entregar/conduzir/fazer
debilitar	enfraquecer
debruçar	vergar/curvar/dobrar/torcer
decair	piorar/tornar/virar/mudar
decapitar	matar
decidir	seleccionar/selecionar/escolher/encerrar/finalizar/concluir/terminar
declarar	contar/falar/dizer/balizar/avaliar/julgar
declinar	decrescer/desabar/minguar/diminuir
declivar	debruçar/inclinar
decretar	resolver/decidir
dedicar	empregar/utilizar/usar
deduzir	reter/guardar/segurar/manter/computar/calcular
defender	impedir/atrapalhar/evitar
defletir	virar-se/tornar-se/virar
deformar	alterar/mudar
defraudar	victimizar/vitimar
defrontar	estar
degelar	liquefazer/liquidificar
degenerar	decair/piorar
deglutir	ingerir/consumir/tomar
degolar	matar
degradar	decair/piorar/humilhar/mortificar/aviltar/rebaixar
deitar	botar/pôr/colocar/carregar
deixar	modificar/regalar/alterar/ceder/deslocar/mover/mexer/oferecer/entregar/entregar/mudar/passar/dar/dar/alterar/consentir/prover/induzir/aprovar/concordar/sair/aceitar/partir/mudar/ir/dar
delapidar	despender/gastar
delegar	responsabilizar/nomear
deletar	remover/tirar
delimitar	limitar/restringir/conter
delinear	marcar
delongar	adiar
demandar	solicitar/requisitar/requerer/pedir
demonstrar	revalidar/corroborar/substanciar/confirmar/sustentar/provar/suportar/apresentar/mostrar/transmitir/passar
denominar	rotular/classificar
denotar	significar/informar/contar
departir	sair/sair/partir/partir/ir/ir
depender	estar/ser
depor	declarar
depositar	entregar/dar
depravar	modificar/alterar/mudar
derivar	redundar/sobrevir/resultar/suceder/seguir
derramar	prover/abastecer/fornecer/suprir/disseminar/deslocar/mover/distribuir/espalhar
derrapar	escorregar/deslizar
derreter	liquefazer/liquidificar/dissolver
derrubar	virar-se/tornar-se/virar/dividir/cortar
desabilitar	modificar/alterar/mudar
desabotoar	desfazer
desabrochar	progredir/desenvolver
desafiar	convidar/pedir
desaguar	disseminar/distribuir/espalhar
desalojar	retirar/remover/tirar
desamarrar	desfazer
desaparafusar	afrouxar
desaparecer	sumir/deslocar/mover/mexer
desatar	desfazer
desativar	modificar/alterar/mudar
descansar	jazer/estar/ser
descartar	livrar/rejeitar
descascar	retirar/remover/tirar
descer	viajar/caminhar/ir/andar
descerrar	informar/contar
descobrir	conceitualizar/conceber/apresentar/mostrar
descolar	partir/dividir/separar
descolorir	alterar/mudar
descompor	magoar/ofender/provocar
desconcertar	concitar/elicitar/estimular/incitar/provocar
desconectar	partir/dividir/separar
descongelar	liquefazer/liquidificar
desconsiderar	tratar/rejeitar
descontrair	tornar/virar/mudar
descrever	informar/explicar
desculpar	conceder
desdobrar	desfazer/operar/deformar/funcionar
desejar	ansiar/ansiar/ansiar/ansiar/ansiar/ansiar/querer/querer/querer/querer/querer/querer/proferir/exprimir/verbalizar/expressar
desembolsar	pagar
desempacotar	retirar/remover/tirar
desempenhar	recriar/cumprir/efetuar/executar/realizar/atingir
desengatar	desfazer
desenhar	figurar/representar
desenterrar	aludir/mencionar/citar
desentranhar	retirar/remover/tirar
desenvolver	progredir/alterar/crescer/mudar/aumentar
deserdar	privar
desfazer-se	desintegrar/separar
desfilar	caminhar/ir/andar
desfrutar	empregar/utilizar/usar
desgrudar	partir/dividir/separar
desinfectar	assear/purgar/limpar
desinfetar	assear/purgar/limpar
desinformar	informar
desintegrar	mudar
desistir	descontinuar/cessar/ceder/finalizar/acabar/terminar/parar/deixar/entregar/passar/dar
desligar	ligar
