abagunçar	desordenar/bagunçar
pulsar	deslocar/mover/mexer
pulular	apinhar/zumbir
purgar	modificar/alterar/mudar
puxar	lesionar/lesar/ferir/machucar/deslocar/mover
pôr	botar/botar/botar/colocar/colocar/colocar/carregar/carregar/carregar/vestir-se/arrumar-se/deslocar/mover/vestir
qualificar	bastar/lembrar/pensar/servir
qualificar-se	bastar/servir
quantificar	exprimir/transmitir
quebrar	partir/dividir/dividir/separar/separar
quedar	estar/ser
queimar	tratar/avariar/danificar/tornar/falhar/morrer/acabar/virar/mudar/mudar
querer	ansiar/ansiar/ansiar/ansiar/ansiar/ansiar/desejar/desejar/desejar/desejar/desejar/desejar
questionar	ruminar/cogitar/ponderar/especular/contemplar/refletir/dirigir-se
raciocinar	cogitar/refletir/pensar
radiar	parecer
ralar	trabalhar
ranger	fragmentar
ranquiar	balizar/avaliar/julgar
raptar	capturar/tomar/pegar
rascar	cortar
rasgar	partir/dividir/separar
raspar	lesionar/lesar/ferir/machucar/tocar/bater/cortar
rastejar	viajar/caminhar/ir/andar
rastejar-se	viajar/caminhar/ir/andar
ratear	ressoar/soar/fazer
re-adquirir	comprar/obter/adquirir/receber
re-ocorrer	ocorrer/suceder/acontecer/passar
reagir	comportar-se/agir/atuar/parecer/agir/atuar/fazer
realizar	encerrar/finalizar/acabar/terminar/ocasionar/conseguir/cumprir/efetuar/efetuar/conhecer/suceder/causar/produzir/saber/executar/satisfazer/criar/provocar/provocar/entender/atingir/atingir/fazer
reapresentar	informar/contar
rebaixar	magoar/ofender/provocar/humilhar/mortificar/aviltar/deslocar/mover
rebater	repudiar/renunciar
receber	comprar/obter/adquirir/alterar/alterar/mudar/mudar
recender	cheirar/parecer
rechaçar	deslocar/mover
recitar	ecoar/repetir
reclamar	solicitar/requisitar/requerer/pedir/proferir/verbalizar/conversar/falar/dizer
recomendar	aconselhar/sugerir/propor
recompensar	pagar
reconciliar	acordar/concordar
reconhecer	recordar-se/lembrar-se/recordar/lembrar/valorizar/determinar/apreciar
reconquistar	comprar/obter/adquirir/receber
recontar	informar
recorrer	ocorrer/suceder/acontecer/passar
recriar	causar/causar/criar/criar/provocar/provocar/fazer/fazer
recrutar	enlistar/protocolar/empregar/engajar/registar/registrar
recuperar	comprar/obter/adquirir/receber/melhorar
recusar	reagir/responder
redigir	comunicar/transmitir
redizer	informar/contar
redundar	resultar/provar
reduzir	modificar/alterar/mudar/diminuir/diminuir/diminuir
referir	associar/conectar/relacionar
referir-se	pertencer
refinar	aperfeiçoar/melhorar
refletir	raciocinar/cogitar/pensar
refrear	coibir/entravar/serenar/deter/moderar/conter
refrescar	modificar/alterar/mudar
refrigerar	modificar/alterar/mudar
refulgir	estar/ser
refutar	repudiar/renunciar
reganhar	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
reger	governar
registar	redigir/escrever/protocolar/poupar/preservar/conservar/guardar/registrar/registrar/manter
registrar	redigir/escrever/protocolar/assinalar/poupar/preservar/conservar/registar/registar/guardar/indicar/manter
regozijar	sentir/experimentar
regozijar-se	sentir/experimentar
regulamentar	resolver/decidir
regularizar	dispor/arranjar/resolver/decidir
reinar	governar/reger
reincidir	ocorrer/suceder/acontecer/passar
reintegrar	pagar
reinvindicar	teimar/insistir/comportar-se/resistir/conduzir
reiterar	agir/informar/atuar/contar/fazer
reivindicar	solicitar/solicitar/requisitar/requisitar/requerer/requerer/pedir/pedir
rejeitar	balizar/reagir/responder/avaliar/julgar
rejubilar	animar-se/alegrar-se/alegrar/animar
relacionar	raciocinar/cogitar/refletir/pensar/interagir/estar/ser
relacionar-se	interagir
relatar	informar/anunciar/mostrar
relaxar	tornar/tornar/virar/virar/mudar/mudar
relinchar	emitir/soltar
remendar	reparar/emendar/consertar
remeter	transmitir/transmitir/trazer/pegar
remover	retirar/retirar/tirar/tirar
render-se	regalar/oferecer/entregar/dar
renunciar	ceder/entregar/passar/dar/rejeitar
repagar	pagar
reparar	aperfeiçoar/melhorar
repartir	mudar
repetir	emitir/ocorrer/suceder/soltar/acontecer/passar/agir/informar/atuar/contar/fazer
replicar	contar/falar/dizer
reportar	anunciar/anunciar/mostrar/mostrar
repousar	jazer/estar/ser
representar	contar/falar/dizer/proferir/figurar/recriar/exprimir/verbalizar/atuar/expressar/fazer
reproduzir	produzir/produzir/construir/construir/criar/criar/fazer/fazer/causar/criar/provocar/fazer
repudiar	rejeitar
reputar	pensar/achar
requerer	solicitar/requisitar/demandar/exigir/pedir/estar/ser
resfriar	modificar/alterar/mudar
resgatar	retirar/remover/tirar
resistir	brigar/agir/portar/atuar/defender/lutar/fazer
resmungar	proferir/verbalizar/conversar/falar/dizer
resolver	aperfeiçoar/comprender/compreender/melhorar/entender/encerrar/finalizar/concluir/terminar
respeitar	considerar/achar/ver
respigar	coligir/ajuntar/recolher/coletar/juntar/reunir
responder	contar/falar/dizer
ressecar	secar/enxugar
ressoar	soar/soar/soar/parecer/fazer/fazer/fazer
restabelecer	renovar
restituir	pagar
restringir	reduzir/diminuir/refrear/refrear/limitar/limitar/controlar/controlar
resultar	redundar/sobrevir/suceder/provar/estar/ser/seguir
resumir	reduzir/diminuir
resvalar	escorregar/deslizar
reter	negar/guardar/guardar/segurar/segurar/ter/manter/manter/desabilitar/desativar/incapacitar/agir/impedir/atrapalhar/atuar/evitar/fazer
retificar	inverter/reverter/tornar/virar
retirar	remover/remover/tirar/tirar
retorcer	modelar/formar
retornar	transportar/trazer/levar/tirar
retratar	atuar/representar/fazer
retribuir	pagar
retrucar	contar/falar/dizer
reunir	ingressar/juntar-se/acrescer/somar/associar-se/acrescentar/adicionar
reunir-se	encontrar/reunir
revelar	informar/apresentar/contar/mostrar
reverberar	ressoar/soar/fazer
reverter	alterar/mudar
revestir	tampar/tampar/cobrir/cobrir
revirar	buscar/procurar/deslocar/mover
revistar	inspecionar/examinar/ver
revolver	deslocar/mover
ridicularizar	ironizar/menosprezar/zombar
rir	ironizar/menosprezar/zombar
rodar	viajar/girar/caminhar/virar/ir/andar/deslocar/mover
rodear	encostar/tocar
rolar	deslocar/mover/mexer/achatar/aplainar/enxugar
romper	dividir/separar
ronronar	ressoar/soar/fazer
rosar	descolorir/colorir
rotular	denominar/anexar/designar/julgar/juntar/declarar/unir
roçar	esfregar/tocar/bater
ruborizar	descolorir/colorir
rugir	ressoar/soar
ruminar	raciocinar/cogitar/refletir/pensar
sacanear	ironizar/menosprezar/zombar
sacar	retirar/retirar/retirar/remover/remover/remover/tirar/tirar/tirar
sacudir	deslocar/mover/mexer/oscilar
sair	deslocar/mover/mexer/alterar/partir/partir/partir/mudar/ir/ir/ir
salpicar	desaguar/derramar
sarar	melhorar
satisfazer	corresponder/combinar/concordar/provisionar/prover/abastecer/fornecer/servir
saudar	acostar/comunicar/cumprimentar/transmitir
secar	modificar/alterar/mudar/alterar/mudar
sediar	abrigar/amparar
seguir	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/agir/perseguir/resultar/atuar/provar/fazer
segurar	agarrar/agarrar/capturar/capturar/reter/guardar/ter/pegar/pegar/manter/agarrar/tomar/pegar
seleccionar	resolver/decidir
selecionar	resolver/decidir
semear	botar/pôr/colocar/carregar
sentar	botar/pôr/colocar/carregar
sentar-se	botar/pôr/colocar/carregar/estar
sentir	aperceber/aperceber-se/perceber/entender
separar	deslocar/mover/expulsar/mexer/alterar/deslocar/mover/identificar/reconhecer/partir/mudar/mudar/mudar/mudar/dividir
sepultar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
sequestrar	capturar/tomar/pegar
seqüestrar	capturar/tomar/pegar
ser	estar
serpear	viajar/caminhar/ir/andar
serrar	dividir/cortar
servir	trabalhar/bastar/provisionar/provisionar/operar/cumprir/prover/prover/abastecer/abastecer/fornecer/fornecer/funcionar/trabalhar/estar/ser/realizar/satisfazer/entregar/passar/dar
significar	indicar/transmitir/passar
simular	reproduzir/atuar/fingir
sinalizar	botar/pôr/colocar/carregar/informar/contar
sitiar	assaltar/atacar
situar	botar/pôr/colocar/carregar/deslocar/mover
soar	ressoar/ressoar/parecer/fazer/fazer
sobrevir	resultar/provar
sobreviver	agir/atuar/fazer
socorrer	apoiar/suportar/ajudar
sofrer	sentir/experimentar/alterar/experimentar/estar/ser/ter/mudar
solicitar	requisitar/requerer/pedir
solidificar	mudar
soltar	proferir/deslocar/exprimir/mover/verbalizar/expressar
solucionar	comprender/compreender/entender
somar	acrescer/acrescentar/crescer/aumentar
sonecar	dormir/repousar/descansar/cochilar
sonhar	aperceber/aperceber-se/perceber/entender
sorver	beber/tomar
soterrar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
subir	ascender/ascender/viajar/caminhar/ir/andar/crescer/crescer/aumentar
subjazer	estar/ser
submergir	tampar/cobrir/deslocar/mover
submeter-se	entregar/dar
subornar	pagar
substanciar	causar/criar/provocar/fazer
substituir	modificar/alterar/mudar/renovar
subtrair	computar/calcular
subverter	modificar/alterar/mudar
suceder	ocorrer/acontecer/passar/resultar/provar
sucumbir	entregar/dar
sufocar	matar
sugar	beber/tomar
sugerir	informar/contar/declarar
sujar	modificar/alterar/mudar
sulcar	dividir/cortar
superar	concitar/elicitar/estimular/incitar/provocar
superproteger	zelar/cuidar
suplementar	anexar/juntar/unir
supor	solucionar/antecipar/antecipar/antecipar/resolver
suportar	consentir/permitir/deixar
suprir	prover/prover/abastecer/abastecer/fornecer/fornecer/provisionar/prover/abastecer/fornecer/servir/entregar/dar
surgir	parecer
surpreender	agir/atuar/fazer
suspender	pendurar/encerrar/encerrar/encerrar/finalizar/finalizar/finalizar/concluir/concluir/concluir/terminar/terminar/terminar
suspirar	ansiar/querer/desejar
sussurrar	proferir/ressoar/verbalizar/conversar/soar/falar/dizer/fazer
sustentar	teimar/insistir/sentir/experimentar/ter
tagarelar	proferir/verbalizar/conversar/falar/dizer
telecomunicar	comunicar/transmitir
telefonar	telecomunicar
tensionar	afectar/afetar
tentar	balizar/comover/agir/emocionar/atuar/estimular/avaliar/excitar/julgar/fazer
teorizar	antecipar
ter	abarcar/incluir/conter/apresenta/dispõe/vivenciar/experienciar/doer/produzir/experimentar/experimentar/sofrer/fazer
terminar	modificar/alterar/mudar/cessar/encerrar/encerrar/encerrar/encerrar/finalizar/finalizar/finalizar/finalizar/concluir/concluir/concluir/acabar/parar
testar	balizar/avaliar/julgar
testemunhar	informar
testificar	informar
tique-taque	ressoar/soar/fazer
tirar	cerrar/fechar/deslocar/mover/retirar/retirar/retirar/retirar/retirar/remover/remover/remover/remover/remover/remover
tiritar	estremecer/tremular/sacudir/tremer/tremer/agitar
tirotear	lesionar/lesar/ferir/machucar
tocar	desempenhar/apresentar/fazer/bater/deslocar/deslocar/mover/mover/ressoar/soar/fazer
tolerar	consentir/permitir/deixar
tolher	impedir/atrapalhar/evitar
tomar	ingerir/ingerir/consumir/consumir/agarrar/pegar
tombar	perecer/falecer/expirar/morrer
topar	comprar/obter/adquirir/receber
torcer	modelar/formar/deformar
torcer-se	deslocar/mover/mexer
tornar	alterar/alterar/virar/mudar/mudar/mudar
tornar-se	deslocar/mover/mexer
torrar	despender/gastar
torturar	angustiar/doer/machucar
tossir	retirar/remover/tirar
tostar	esquentar/aquecer
totalizar	estar/ser
trabalhar	transubstanciar/transmudar/manejar/manusear/manipular/transformar
traduzir	modificar/comprender/alterar/compreender/entender/mudar
tramitar	interagir
trancar	fixar/prender
transaccionar	interagir
transacionar	interagir
transar	acasalar/copular
transcrever	escrever
transferir	ceder/entregar/passar/dar/deslocar/mover
transformar	modificar/modificar/modificar/moldar/alterar/alterar/alterar/forjar/modelar/formar/mudar/mudar/mudar/alterar/mudar
transladar	deslocar/mover
transmitir	ceder/entregar/passar/dar/interagir/comunicar/deslocar/deslocar/mover/mover/informar/contar/enviar/dar
transmudar	modificar/modificar/alterar/alterar/mudar/mudar
transmutar	alterar/mudar
transportar	deslocar/deslocar/deslocar/mover/mover/mover
transubstanciar	modificar/alterar/mudar
trapacear	victimizar/vitimar
traspassar	entrar
tratar	encetar/interagir/abordar/lidar/cuidar/guiar/iniciar
trautear	cantar
trazer	modificar/alterar/mudar/deslocar/deslocar/mover/mover/apresentar/mostrar
traçar	marcar
treinar	leccionar/leccionar/lecionar/lecionar/ensinar/ensinar/lustrar/polir/refinar/instruir/instruir/refrear/limitar/controlar
tremelicar	estremecer/tremular/tiritar/tremer
tremer	arredar/estremecer/tremular/tiritar/deslocar/mover/puxar/mexer/sacudir/agitar/tirar
tremular	sacudir/tremer/agitar
trepar	ascender/subir/acasalar/copular
tresandar	recender/feder/cheirar
trinar	cantar
triturar	fragmentar
trocar	modificar/alterar/substituir/mudar/vestir-se/arrumar-se/transferir/vestir
tropeçar	caminhar/ir/andar
trucidar	matar
uivar	ressoar/soar
unificar	modificar/alterar/mudar/ingressar/juntar-se/associar-se
unir	juntar/juntar/juntar/ligar/ligar/ligar/reunir/reunir/reunir/acrescer/somar/acrescentar/adicionar
urgir	aconselhar/sugerir/propor/assessorar/aconselhar/opinar/avisar
usar	ingerir/vestir-se/arrumar-se/empregar/utilizar/consumir/vestir/tomar
vacilar	adiar
vadear	caminhar/ir/andar
vadiar	viajar/caminhar/ir/andar
vagabundear	viajar/caminhar/ir/andar
vagar	viajar/viajar/viajar/caminhar/caminhar/caminhar/ir/ir/ir/andar/andar/andar
vaguear	viajar/caminhar/ir/andar
valer	estar/ser
validar	revalidar/corroborar/substanciar/confirmar/sustentar/provar/suportar
valorizar	considerar/achar/ver
vaporizar	mudar
varrer	deslocar/deslocar/mover/mover/mexer/mexer/assear/purgar/limpar
vasculhar	revistar/buscar/procurar
vassourar	deslocar/mover/mexer
vender	estar/ser/trocar
venerar	considerar/achar/ver
ver	aperceber/aperceber/aperceber-se/aperceber-se/conjeturar/conjecturar/imaginar/perceber/perceber/pensar/pensar/entender/entender/achar/avistar/divisar/checar/conferir/mirar/mirar/observar/observar/olhar/olhar
verbalizar	comunicar/causar/criar/transmitir/provocar/fazer
vergar	deformar
verter	deslocar/mover
vestir	vestir-se/arrumar-se/alterar/mudar
vestir-se	alterar/mudar
viajar	caminhar/caminhar/ir/ir/andar/andar
viciar	modificar/alterar/mudar
victimizar	injustiçar/maltratar
vir	viajar/caminhar/ir/andar
virar	virar-se/virar-se/virar-se/deslocar/deslocar/mover/mover/tornar-se/tornar-se/tornar-se/mexer/mexer/alterar/alterar/deslocar/mover/mudar/mudar
virar-se	deslocar/mover/mexer/agir/atuar/fazer
vislumbrar	mirar/observar/olhar/ver
vistoriar	inspecionar/examinar/ver
visualizar	conjeturar/conjecturar/imaginar/pensar
vitimar	injustiçar/maltratar
viver	estar
voar	operar/viajar/caminhar/controlar/ir/andar/viajar/ir/andar
vociferar	proferir/verbalizar/conversar/falar/dizer
voltar	transportar/trazer/levar/tirar
voluntariar	agir/atuar/fazer
votar	seleccionar/selecionar/escolher
zangar	concitar/elicitar/estimular/incitar/provocar
zoar	ironizar/menosprezar/zombar
zombar	tratar/ironizar/menosprezar
zumbir	estar/ser

